NGC5033_rotmod
rad,vObs,errV,gas,disk,bulge
0.76,206.0,16.0,2.44,95.41,277.3
2.28,214.0,10.0,5.15,214.07,218.08
3.8,222.0,8.0,8.48,237.47,168.95
5.33,224.0,8.0,16.65,222.81,142.66
6.85,225.0,8.0,22.4,206.17,125.84
8.0,222.0,6.0,24.58,191.74,116.44
10.28,220.0,3.0,28.49,177.55,102.72
12.56,218.0,2.0,30.21,168.02,92.93
14.91,219.0,2.0,36.41,156.39,85.29
17.15,217.0,2.0,41.69,147.04,79.53
19.39,218.0,2.0,45.72,140.32,74.79
21.64,220.0,2.0,51.92,136.88,70.8
24.01,222.0,2.0,56.74,130.88,67.21
26.25,218.0,3.0,58.35,124.11,64.28
28.5,217.0,3.0,56.74,118.34,61.69
30.87,207.0,3.0,53.3,113.45,59.28
33.12,199.0,3.0,51.34,109.2,57.23
35.36,191.0,3.0,48.7,105.32,55.39
37.73,193.0,3.0,46.75,101.61,53.62
39.98,192.0,3.0,45.26,98.44,52.09
42.22,194.0,4.0,43.99,95.58,50.69
44.59,196.0,5.0,42.84,92.77,49.32
