NGC4559_rotmod
rad,vObs,errV,gas,disk,bulge
0.67,43.8,10.9,-1.86,59.04,0.0
1.32,64.2,7.71,-3.8,76.34,0.0
1.97,73.3,8.62,-4.48,88.63,0.0
2.62,84.2,8.4,7.23,96.45,0.0
3.28,96.2,5.67,12.91,105.73,0.0
3.93,102.0,4.79,15.03,114.11,0.0
4.58,104.0,5.67,16.47,116.44,0.0
5.22,106.0,5.37,19.07,115.33,0.0
5.9,106.0,5.24,21.96,114.16,0.0
6.54,108.0,5.22,24.08,111.48,0.0
7.19,111.0,4.68,26.59,108.69,0.0
7.87,114.0,4.61,28.42,108.61,0.0
8.51,116.0,4.47,29.67,108.62,0.0
9.16,117.0,5.22,30.73,106.75,0.0
9.84,118.0,5.22,33.62,102.47,0.0
10.48,120.0,4.5,36.6,98.04,0.0
11.13,121.0,3.62,38.63,94.48,0.0
11.78,122.0,3.17,39.4,91.23,0.0
12.43,122.0,2.74,39.69,88.36,0.0
13.08,122.0,3.18,40.46,85.84,0.0
13.73,123.0,3.56,42.0,83.43,0.0
14.38,124.0,4.31,43.44,80.87,0.0
15.03,124.0,4.76,44.21,78.55,0.0
15.68,123.0,5.23,45.27,76.81,0.0
16.33,123.0,5.66,46.72,75.17,0.0
16.98,123.0,5.62,48.07,73.49,0.0
17.72,121.0,5.67,49.41,71.61,0.0
18.28,122.0,6.32,50.57,70.3,0.0
19.02,122.0,6.35,51.53,68.7,0.0
19.67,121.0,5.86,52.02,67.38,0.0
20.32,120.0,5.94,52.11,66.16,0.0
20.97,119.0,6.13,51.82,65.01,0.0
