NGC2903_rotmod
rad,vObs,errV,gas,disk,bulge
0.32,44.0,8.0,0.01,197.82,0.0
0.64,64.0,8.0,0.03,204.19,0.0
0.96,128.0,8.0,0.08,209.11,0.0
1.28,148.0,8.0,0.07,219.11,0.0
1.6,157.0,8.0,1.76,225.96,0.0
1.92,189.0,8.0,5.17,232.02,0.0
2.24,195.0,6.0,8.23,251.26,0.0
2.56,201.0,6.0,11.05,278.7,0.0
2.88,214.0,4.0,13.64,291.79,0.0
3.2,215.0,4.0,16.01,300.53,0.0
3.52,215.0,4.0,18.18,298.29,0.0
3.84,216.0,3.0,20.14,289.57,0.0
4.8,214.0,2.0,24.78,274.65,0.0
5.76,210.0,2.0,25.77,255.87,0.0
6.72,205.0,2.0,24.89,236.77,0.0
7.68,203.0,1.0,25.19,221.37,0.0
8.64,201.0,1.0,25.4,209.59,0.0
9.6,201.0,1.0,27.64,199.24,0.0
10.56,199.0,1.0,32.7,189.8,0.0
11.52,197.0,1.0,37.22,181.59,0.0
12.48,196.0,2.0,37.86,174.1,0.0
13.44,193.0,3.0,36.33,167.37,0.0
14.4,190.0,3.0,35.33,161.19,0.0
15.36,188.0,5.0,35.01,155.25,0.0
16.32,187.0,5.0,34.43,150.2,0.0
17.28,188.0,3.0,33.18,145.58,0.0
18.24,186.0,3.0,32.48,141.36,0.0
19.2,185.0,3.0,31.94,137.48,0.0
20.16,185.0,3.0,31.23,133.91,0.0
21.12,181.0,3.0,30.85,130.6,0.0
22.08,178.0,3.0,30.69,127.55,0.0
23.04,177.0,3.0,30.33,124.7,0.0
24.0,182.0,4.0,30.72,122.05,0.0
24.96,180.0,8.0,30.86,119.57,0.0
