NGC0247_rotmod-Copy1
rad,vObs,errV,gas,disk,bulge
1.08,34.6,0.9,2.87,22.18,0.0
1.61,47.0,0.8,4.22,29.63,0.0
2.15,59.1,3.1,5.53,34.54,0.0
2.7,64.4,1.4,7.02,38.17,0.0
3.22,67.4,2.3,8.74,41.49,0.0
3.77,69.8,0.7,10.74,44.33,0.0
4.31,71.3,1.1,12.87,46.65,0.0
4.85,73.2,1.7,14.02,48.71,0.0
5.38,75.1,3.0,14.25,50.36,0.0
5.92,78.5,3.8,15.4,51.67,0.0
6.46,81.4,5.0,17.47,52.6,0.0
6.99,83.5,7.0,20.12,53.23,0.0
7.53,87.1,7.2,23.34,53.67,0.0
8.07,90.7,4.8,25.63,54.09,0.0
8.62,93.1,1.4,27.36,54.75,0.0
9.14,95.9,2.1,29.31,55.29,0.0
9.69,98.4,5.2,31.5,55.46,0.0
10.23,101.0,8.2,33.45,55.35,0.0
10.76,103.0,9.4,35.18,54.98,0.0
11.3,104.0,9.4,36.44,54.45,0.0
11.84,105.0,8.9,37.01,53.82,0.0
12.38,105.0,8.4,37.01,53.2,0.0
12.91,105.0,9.0,36.33,52.54,0.0
13.48,106.0,8.4,35.29,51.7,0.0
14.01,108.0,7.7,34.03,50.9,0.0
14.54,107.0,9.2,32.65,50.18,0.0
