UGC09133_rotmod
rad,vObs,errV,gas,disk,bulge
0.32,284.0,34.7,-3.24,26.79,189.88
0.63,282.0,18.8,-2.41,50.47,292.13
0.95,281.0,12.6,-0.21,72.14,320.6
1.26,280.0,10.6,2.45,90.82,326.59
1.58,280.0,10.8,3.54,108.12,325.9
1.89,279.0,7.67,4.4,123.29,320.4
2.21,279.0,11.2,5.23,137.43,313.32
2.52,279.0,4.45,6.01,149.84,305.5
2.84,279.0,5.03,6.75,161.33,297.22
3.15,279.0,4.26,7.48,171.56,290.7
3.47,279.0,4.14,8.19,181.11,286.88
3.79,279.0,5.73,8.9,189.8,283.42
4.1,280.0,4.52,9.6,197.34,279.37
4.42,280.0,4.86,10.25,204.41,274.03
4.73,280.0,1.59,10.97,210.6,267.5
5.05,281.0,1.85,11.69,215.35,260.4
5.36,282.0,4.81,12.31,218.91,253.49
5.68,282.0,20.3,13.02,222.04,246.69
5.99,283.0,12.8,13.74,224.98,240.45
6.31,284.0,8.08,14.46,228.22,234.35
6.62,284.0,7.81,15.07,231.93,228.92
6.94,285.0,10.4,15.79,235.94,223.68
7.57,286.0,6.82,17.23,242.45,214.14
7.89,287.0,13.4,17.95,243.91,209.75
8.2,287.0,10.5,18.77,244.06,205.73
8.31,288.0,2.93,18.97,244.14,204.35
8.52,288.0,5.58,19.59,244.43,201.86
8.83,288.0,5.74,20.3,245.34,198.26
9.15,288.0,7.0,21.12,245.9,194.78
9.78,289.0,12.7,22.56,245.25,188.37
10.1,289.0,3.89,23.18,244.0,185.3
11.04,288.0,5.02,25.23,239.18,177.32
11.36,288.0,3.39,25.74,237.64,174.8
11.67,288.0,10.7,26.35,236.26,172.47
13.57,285.0,4.07,29.02,230.28,159.94
13.88,284.0,8.92,29.38,229.01,158.15
14.2,284.0,5.69,29.84,228.03,156.35
16.61,278.0,9.14,32.61,219.86,144.57
19.35,273.0,6.1,35.69,212.46,133.94
22.19,269.0,2.26,39.89,201.82,125.08
24.92,265.0,1.32,44.61,194.49,118.03
27.66,262.0,3.15,49.22,187.22,112.03
30.5,257.0,4.71,51.48,179.93,106.69
33.23,252.0,4.96,51.89,173.14,102.21
35.96,247.0,2.58,50.25,166.11,98.25
38.8,242.0,2.52,48.3,159.33,94.59
41.54,238.0,2.3,47.17,153.43,91.42
44.27,235.0,0.63,47.68,147.95,88.55
47.11,236.0,1.4,49.73,142.73,85.84
49.84,239.0,2.07,50.56,138.21,83.46
52.58,242.0,2.63,49.43,133.98,81.25
55.42,245.0,1.64,49.12,129.96,79.14
58.15,247.0,1.31,50.56,126.43,77.26
60.89,246.0,2.14,53.22,123.2,75.51
63.62,243.0,4.0,53.84,120.17,73.87
66.46,239.0,4.67,53.63,117.27,72.27
69.19,234.0,5.12,53.12,114.7,70.83
71.93,230.0,2.1,53.02,112.26,69.47
74.77,228.0,1.32,53.32,109.91,68.14
77.5,228.0,1.6,54.04,107.81,66.93
80.23,227.0,3.16,54.66,105.81,65.78
83.07,226.0,3.48,54.96,103.86,64.64
85.81,224.0,3.71,54.86,102.09,63.6
88.54,222.0,1.49,54.35,100.4,62.62
91.38,222.0,1.18,53.73,98.74,61.64
94.12,224.0,1.22,53.22,97.22,60.73
99.69,227.0,2.8,52.91,94.34,59.01
108.31,229.0,4.12,51.38,90.37,56.61
