NGC3917_rotmod
rad,vObs,errV,gas,disk,bulge
0.87,24.3,3.9,0.0,35.64,0.0
1.74,49.6,3.9,0.0,47.54,0.0
2.61,73.6,5.2,0.0,60.47,0.0
3.5,101.0,4.4,7.38,73.72,0.0
4.37,107.0,3.5,13.36,85.03,0.0
5.24,115.0,3.5,14.01,96.27,0.0
6.11,123.0,3.9,12.18,104.34,0.0
6.98,130.0,3.9,18.32,107.5,0.0
7.85,134.0,3.5,21.34,109.28,0.0
8.72,136.0,3.9,21.77,108.62,0.0
9.6,137.0,4.0,27.37,107.75,0.0
10.47,136.0,3.5,29.53,106.05,0.0
11.35,137.0,3.5,32.11,103.37,0.0
12.19,137.0,3.5,32.87,100.58,0.0
13.12,137.0,5.0,30.82,96.92,0.0
13.94,138.0,5.0,32.01,93.04,0.0
14.86,137.0,7.5,31.79,88.38,0.0
