UGC08286_rotmod
rad,vObs,errV,gas,disk,bulge
0.47,22.2,2.81,-3.85,16.14,0.0
0.95,43.4,3.47,-1.38,24.37,0.0
1.42,60.2,3.04,-0.63,30.01,0.0
1.9,69.6,2.05,8.67,34.64,0.0
2.37,72.5,2.0,11.4,38.52,0.0
2.84,74.3,2.02,11.54,39.29,0.0
3.3,75.8,2.01,12.92,40.32,0.0
3.78,77.2,2.05,16.18,39.87,0.0
4.25,79.3,2.08,18.85,39.64,0.0
4.73,81.3,2.08,23.39,37.47,0.0
5.2,81.6,2.03,23.16,35.37,0.0
5.67,82.1,2.02,23.39,33.69,0.0
6.15,82.9,2.0,22.11,32.23,0.0
6.62,83.2,2.0,22.46,30.9,0.0
7.1,83.5,2.02,26.07,29.56,0.0
7.57,83.8,2.0,25.72,28.4,0.0
8.04,84.3,2.0,26.3,27.44,0.0
