NGC5907_rotmod
rad,vObs,errV,gas,disk,bulge
5.03,214.0,6.0,0.0,178.85,0.0
7.55,220.0,6.0,0.0,207.41,0.0
10.07,235.0,4.0,0.0,227.06,0.0
12.58,235.0,4.0,16.93,232.81,0.0
15.1,230.0,2.0,24.45,224.63,0.0
17.61,231.0,2.0,31.1,217.25,0.0
20.13,232.0,2.0,42.26,208.93,0.0
22.65,225.0,7.0,53.67,198.38,0.0
25.16,224.0,7.0,49.79,187.6,0.0
27.68,229.0,2.0,54.3,177.97,0.0
30.2,218.0,2.0,64.08,169.55,0.0
32.71,214.0,2.0,61.58,162.23,0.0
35.23,213.0,2.0,64.96,155.53,0.0
37.75,211.0,2.0,61.95,149.39,0.0
40.26,217.0,2.0,63.21,143.82,0.0
42.78,216.0,3.0,60.7,138.81,0.0
45.29,215.0,3.0,60.57,134.25,0.0
47.81,217.0,5.0,60.07,130.16,0.0
50.33,214.0,5.0,62.33,126.52,0.0
