F563-1_rotmod
rad,vObs,errV,gas,disk,bulge
1.07,22.1,7.17,1.98,18.3,0.0
1.78,42.7,10.66,4.03,24.51,0.0
2.49,60.6,7.69,6.25,27.45,0.0
2.97,76.8,11.1,7.78,28.28,0.0
3.04,81.6,17.5,8.01,28.2,0.0
3.19,87.0,8.93,8.49,28.16,0.0
6.95,90.0,24.8,17.83,29.57,0.0
8.58,97.8,9.4,22.83,29.09,0.0
9.26,93.7,25.3,24.91,28.73,0.0
9.89,103.0,23.8,26.69,28.7,0.0
10.08,97.4,11.0,27.31,28.73,0.0
11.84,106.5,9.48,30.86,27.77,0.0
14.56,112.0,11.0,30.44,25.73,0.0
15.43,111.5,9.4,30.7,25.11,0.0
17.93,111.0,24.3,33.36,23.48,0.0
19.02,112.5,7.75,34.35,22.95,0.0
20.1,106.0,10.7,35.34,22.07,0.0
