NGC2976_rotmod-Copy1
rad,vObs,errV,gas,disk,bulge
0.11,6.8,3.62,1.06,11.98,0.0
0.17,9.5,4.31,1.76,15.44,0.0
0.24,14.0,3.11,2.47,19.52,0.0
0.31,19.8,5.5,2.93,23.11,0.0
0.38,26.1,3.9,3.29,26.27,0.0
0.45,28.7,3.5,3.99,29.18,0.0
0.52,28.7,2.7,4.46,32.19,0.0
0.59,31.7,2.5,4.93,35.22,0.0
0.66,35.5,2.3,5.88,38.01,0.0
0.73,39.4,2.1,6.93,40.66,0.0
0.8,42.9,2.3,7.52,43.36,0.0
0.87,46.0,2.6,8.45,45.92,0.0
0.94,49.1,3.1,9.28,48.76,0.0
1.01,49.2,3.2,10.11,52.24,0.0
1.08,51.4,3.2,11.31,55.81,0.0
1.14,57.2,3.1,13.04,58.54,0.0
1.21,63.8,2.9,15.48,61.95,0.0
1.29,67.8,2.8,17.62,66.07,0.0
1.35,69.8,3.3,19.66,68.88,0.0
1.42,71.7,3.9,21.7,71.85,0.0
1.49,74.1,4.4,23.73,74.58,0.0
1.56,76.7,4.8,25.98,76.94,0.0
1.63,79.9,4.4,27.71,78.73,0.0
1.74,83.6,3.35,30.15,80.17,0.0
1.93,83.9,3.95,29.44,78.52,0.0
2.1,88.7,4.44,29.75,75.56,0.0
2.27,85.3,5.36,29.85,73.66,0.0
