NGC2915_rotmod
rad,vObs,errV,gas,disk,bulge
0.34,13.5,10.1,4.08,44.78,0.0
0.67,31.3,12.5,7.65,48.88,0.0
1.0,35.3,13.4,10.36,46.82,0.0
1.34,50.5,9.38,11.92,43.88,0.0
1.68,61.0,10.1,12.33,40.74,0.0
2.01,66.5,11.9,12.44,38.01,0.0
2.34,74.4,11.6,12.54,35.66,0.0
2.67,83.0,9.17,12.44,33.66,0.0
3.01,86.4,7.66,12.13,31.74,0.0
3.35,83.6,8.18,12.02,29.95,0.0
3.68,79.8,7.93,12.54,28.46,0.0
4.02,82.8,6.95,13.47,27.13,0.0
4.35,83.5,7.19,14.61,25.93,0.0
4.68,80.4,7.85,15.44,24.93,0.0
5.02,80.3,7.57,15.86,24.0,0.0
5.35,82.1,7.92,15.86,23.2,0.0
5.69,82.4,8.33,15.65,22.42,0.0
6.03,80.9,7.88,15.44,21.74,0.0
6.36,79.0,6.15,15.65,21.15,0.0
6.69,81.4,6.11,16.27,20.57,0.0
7.02,79.7,5.59,17.1,20.07,0.0
7.36,77.5,6.33,17.83,19.59,0.0
7.7,79.9,6.41,17.93,19.12,0.0
8.03,81.5,7.86,18.24,18.72,0.0
8.37,82.2,7.82,18.65,18.33,0.0
8.7,82.0,7.09,18.97,17.95,0.0
9.03,84.7,5.74,19.38,17.62,0.0
9.37,86.1,5.54,19.59,17.3,0.0
9.7,85.3,5.23,19.9,16.98,0.0
10.04,86.5,6.45,19.9,16.69,0.0
