UGC12632_rotmod
rad,vObs,errV,gas,disk,bulge
0.71,24.1,7.55,0.75,14.22,0.0
1.42,33.6,5.02,2.55,19.97,0.0
2.14,44.8,3.38,7.39,23.97,0.0
2.85,54.4,2.9,10.7,26.52,0.0
3.55,57.4,2.89,12.26,27.06,0.0
4.26,61.4,3.44,12.02,28.45,0.0
4.97,63.8,3.64,14.16,29.24,0.0
5.69,65.5,3.82,15.95,29.3,0.0
6.4,67.6,3.54,18.56,30.76,0.0
7.11,69.2,2.91,22.61,29.42,0.0
7.82,70.3,2.79,26.3,28.8,0.0
8.52,71.4,2.93,28.44,27.59,0.0
9.25,73.2,3.0,29.27,27.31,0.0
9.95,73.0,2.81,30.7,26.87,0.0
10.66,73.1,2.79,31.41,26.73,0.0
