NGC4100_rotmod
rad,vObs,errV,gas,disk,bulge
2.61,120.0,10.5,5.71,126.18,0.0
3.5,148.0,7.5,9.28,135.14,0.0
4.37,168.0,6.2,13.15,152.52,0.0
5.24,182.0,6.1,16.38,177.98,0.0
6.11,190.0,5.2,19.18,196.88,0.0
6.98,194.0,5.7,21.66,207.03,0.0
7.85,195.0,6.1,23.38,198.89,0.0
8.72,193.0,4.8,24.46,191.25,0.0
9.6,192.0,3.9,25.0,180.26,0.0
10.47,192.0,3.5,25.65,169.65,0.0
11.35,191.0,4.4,26.73,162.03,0.0
12.19,189.0,4.8,28.34,157.28,0.0
13.12,185.0,5.3,30.6,152.13,0.0
13.94,182.0,4.5,32.54,146.63,0.0
14.86,179.0,6.6,34.38,141.01,0.0
15.68,176.0,6.2,36.42,136.34,0.0
16.61,174.0,6.6,38.36,131.69,0.0
17.42,178.0,8.7,38.9,128.17,0.0
18.35,177.0,6.2,37.93,124.63,0.0
19.16,169.0,5.9,36.96,121.38,0.0
20.09,158.0,6.3,36.1,117.8,0.0
21.02,158.0,7.6,34.92,114.69,0.0
21.95,158.0,8.9,33.73,111.9,0.0
22.76,159.0,9.0,32.65,109.45,0.0
