PGC51017_rotmod
rad,vObs,errV,gas,disk,bulge
0.33,20.5,4.17,5.04,10.8,0.0
0.99,19.9,1.82,10.8,19.85,0.0
1.65,19.3,1.69,12.3,20.13,0.0
2.31,18.8,1.9,12.7,18.24,0.0
2.97,18.2,1.74,13.3,16.21,0.0
3.63,18.3,2.22,14.2,14.5,0.0
