NGC5585_rotmod
rad,vObs,errV,gas,disk,bulge
0.09,11.2,2.02,0.32,12.72,0.0
0.26,26.5,1.03,0.96,26.94,0.0
0.43,33.7,1.03,1.6,35.34,0.0
0.6,32.7,1.12,2.25,40.03,0.0
0.77,33.7,1.03,2.89,43.26,0.0
0.94,35.7,2.24,3.55,45.85,0.0
1.11,37.8,3.35,4.2,48.05,0.0
1.28,41.8,3.35,4.86,48.94,0.0
1.46,43.9,2.14,5.23,50.17,0.0
1.63,44.9,1.25,5.36,51.3,0.0
2.05,53.2,1.6,5.65,53.95,0.0
2.74,64.3,0.9,9.45,56.61,0.0
3.42,73.1,2.4,11.66,56.83,0.0
4.11,76.2,4.4,15.23,58.16,0.0
4.79,78.4,3.8,19.76,56.9,0.0
5.48,83.1,3.1,23.04,53.88,0.0
6.16,88.0,3.0,26.02,50.76,0.0
6.85,89.9,2.4,27.47,47.3,0.0
7.53,90.6,2.8,29.11,43.89,0.0
8.21,91.6,2.6,31.03,41.41,0.0
8.9,92.3,1.4,32.1,39.37,0.0
9.57,90.9,1.0,32.38,37.7,0.0
10.31,89.6,2.7,32.77,36.11,0.0
10.96,89.4,2.7,32.48,34.88,0.0
