#Distance	DATA FILES _ TaM_oversampled (two data points in Gentile per point o algo)						
#Radius	vObs	VError	vGas	vDisk	vBuldge 	SBdisk	SBbul
#kpc 	km/s	km/s	km/s	km/s	km/s		
46.16	272.971	10.424	44.25	125.191	60.806	0	0
46.578	271.744	11.038	44.863	124.578	60.806	0	0
46.911	271.744	11.038	44.863	123.965	60.193	0	0
47.329	271.131	11.651	44.863	123.352	59.58	0	0
47.663	271.131	11.037	45.477	123.352	58.967	0	0
48.08	271.131	11.651	45.477	122.126	58.967	0	0
48.414	272.357	11.038	46.09	122.126	58.967	0	0
48.831	272.971	11.65	46.703	121.512	58.354	0	0
49.165	274.197	12.264	47.316	120.899	58.354	0	0
49.582	275.423	12.877	47.316	120.899	58.354	0	0
49.916	277.876	12.877	47.316	120.286	57.74	0	0
50.333	280.942	12.877	46.703	119.673	57.74	0	0
50.667	279.716	12.877	47.316	119.673	57.74	0	0
51.084	279.716	11.65	46.703	118.446	57.74	0	0
51.418	280.329	10.424	46.09	117.833	57.127	0	0
51.835	282.782	11.037	47.316	117.833	57.127	0	0
52.252	282.782	11.037	47.316	117.22	56.514	0	0
52.586	284.008	11.037	47.316	116.607	56.514	0	0
52.92	282.782	20.235	46.703	116.607	56.514	0	0
53.337	284.621	10.424	47.316	115.994	56.514	0	0
53.754	285.848	14.103	46.916	115.994	56.514	0	0
54.088	284.008	10.424	46.703	115.38	55.901	0	0
54.506	283.395	9.198	46.09	114.767	55.288	0	0
54.923	282.168	9.198	46.09	114.154	55.288	0	0
55.257	279.102	10.425	46.09	114.154	55.288	0	0
55.674	277.263	11.037	46.09	113.541	55.288	0	0
56.008	277.876	12.877	45.477	112.928	55.288	0	0
56.341	284.008	11.037	46.09	112.928	54.674	0	0
56.759	287.687	11.651	45.477	111.701	54.674	0	0
57.176	288.914	11.037	45.477	111.701	54.674	0	0
