#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
41.326	190.547	12.153	0.00E+00	102.902	0.00E+00	0.1	0.1
41.612	192.065	10.995	0.00E+00	102.805	0.00E+00	0.1	0.1
41.83	193.468	11.495	0.00E+00	102.8	0.00E+00	0.1	0.1
42.086	193.653	11.125	0.00E+00	101.92	0.00E+00	0.1	0.1
42.339	192.732	11.011	0.00E+00	101.06	0.00E+00	0.1	0.1
42.579	191.512	11.694	0.00E+00	100.93	0.00E+00	0.1	0.1
42.795	189.925	11.886	0.00E+00	100.28	0.00E+00	0.1	0.1
43.042	189.28	11.442	0.00E+00	99.64	0.00E+00	0.1	0.1
43.295	185.89	10.583	0.00E+00	99.606	0.00E+00	0.1	0.1
43.575	187.424	10.131	0.00E+00	99.213	0.00E+00	0.1	0.1
43.784	187.424	10.483	0.00E+00	98.663	0.00E+00	0.1	0.1
44.039	176.773	9.374	0.00E+00	98.434	0.00E+00	0.1	0.1
44.284	175.669	9.565	0.00E+00	98.096	0.00E+00	0.1	0.1
44.492	165.833	15.421	0.00E+00	97.619	0.00E+00	0.1	0.1
44.735	167.674	12.445	0.00E+00	97.199	0.00E+00	0.1	0.1
45.005	159.589	15.582	0.00E+00	96.797	0.00E+00	0.1	0.1
45.264	162.097	15.436	0.00E+00	96.663	0.00E+00	0.1	0.1
45.486	176.442	16.63	0.00E+00	96.65	0.00E+00	0.1	0.1
45.75	163.624	15.441	0.00E+00	96.342	0.00E+00	0.1	0.1
45.986	160.248	14.315	0.00E+00	95.968	0.00E+00	0.1	0.1
46.191	158.86	15.888	0.00E+00	95.658	0.00E+00	0.1	0.1
46.433	160.739	16.226	0.00E+00	95.504	0.00E+00	0.1	0.1
46.74	161.852	16.201	0.00E+00	95.279	0.00E+00	0.1	0.1
46.972	164.997	16.523	0.00E+00	95.268	0.00E+00	0.1	0.1
47.178	166.255	16.1	0.00E+00	94.995	0.00E+00	0.1	0.1
47.491	166.439	17.627	0.00E+00	94.022	0.00E+00	0.1	0.1
47.697	166.439	17.926	0.00E+00	93.682	0.00E+00	0.1	0.1
47.916	168.096	18.017	0.00E+00	93.549	0.00E+00	0.1	0.1
48.228	167.421	19.037	0.00E+00	92.307	0.00E+00	0.1	0.1
48.4	169.799	19.604	0.00E+00	88.304	0.00E+00	0.1	0.1
48.713	170.879	18.7	0.00E+00	87.916	0.00E+00	0.1	0.1
