#Distance	De BLok THINGS						
#Radius	vObs	VError	vGas	vDisk	vBulge 	SBdisk	SBbul
#kpc 	km/s	km/s	km/s	km/s	km/s		
41.06	273.775	11.405	41	108.671	50.763	0	0
41.425	272.983	11.085	40.898	108.311	50.745	0	0
41.648	272.528	11.088	40.766	108.124	50.341	0	0
42.064	271.53	11.054	40.8	107.345	50.341	0	0
42.432	271.37	11.286	42.013	107.083	50.246	0	0
42.687	270.782	12.063	41.985	106.877	49.993	0	0
43.068	270.033	12.041	42.072	106.4	49.906	0	0
43.439	271.37	11.286	43.011	105.89	49.747	0	0
43.761	271.779	11.523	43.259	105.38	49.471	0	0
44.073	273.027	11.718	43.731	104.726	49.222	0	0
44.446	274.595	12.091	43.961	104.466	49.498	0	0
44.731	275.272	12.776	44.295	103.714	49.146	0	0
45.112	277.767	13.322	44.298	103.03	48.81	0	0
45.453	281.044	12.491	44.259	102.636	48.999	0	0
45.804	279.763	12.868	43.799	102.324	48.636	0	0
46.081	279.513	11.875	43.799	102.063	48.115	0	0
46.46	280.238	10.479	44.009	101.638	48.001	0	0
46.774	282.756	10.333	43.9	101.032	47.604	0	0
47.155	283.255	10.809	43.951	100.51	47.604	0	0
47.579	285.074	11.004	44.009	100.39	47.751	0	0
47.882	283.006	19.178	43.689	99.728	47.355	0	0
48.228	284.503	10.906	43.44	99.206	47.28	0	0
48.586	285.88	12.898	43.261	99.393	47.252	0	0
48.852	283.255	11.057	42.93	98.858	46.819	0	0
49.267	283.006	9.557	42.669	98.598	46.558	0	0
49.593	281.85	9.673	42.512	98.145	46.753	0	0
49.891	279.513	9.683	42.409	97.729	46.558	0	0
50.237	277.268	10.994	42.409	97.294	46.362	0	0
50.6	278.625	11.866	42.762	97.147	46.254	0	0
50.999	284.253	11.27	42.756	96.362	45.906	0	0
51.345	287.995	11.444	42.571	96.101	45.731	0	0
51.719	289.105	11.285	42.762	96.149	45.654	0	0
