#Distance	de Blok THINGS (NGC 2403)						
#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
6.955	127.058	4.673	26.256	60.033	0	0.1	0.1
7.001	127.032	4.648	26.753	59.626	0	0.1	0.1
7.111	126.513	4.678	26.913	59.439	0	0.1	0.1
7.238	126.7	4.648	27.749	58.962	0	0.1	0.1
7.383	126.513	4.337	28.657	58.672	0	0.1	0.1
7.499	126.622	4.426	29.119	58.377	0	0.1	0.1
7.554	127.032	4.44	29.41	57.966	0	0.1	0.1
7.629	127.822	4.331	29.462	57.719	0	0.1	0.1
7.694	128.149	4.759	29.704	57.315	0	0.1	0.1
7.83	128.692	4.261	29.742	56.637	0	0.1	0.1
7.888	128.04	4.673	30.018	56.406	0	0.1	0.1
7.988	127.364	4.648	30.406	55.973	0	0.1	0.1
8.044	128.149	3.923	30.257	55.659	0	0.1	0.1
8.109	128.803	3.61	30.233	55.659	0	0.1	0.1
8.174	128.803	3.95	30.347	55.522	0	0.1	0.1
8.264	129.356	3.985	30.406	54.977	0	0.1	0.1
8.29	129.24	4.194	30.148	54.94	0	0.1	0.1
8.381	129.349	4.426	30.318	54.899	0	0.1	0.1
8.472	129.458	4.657	30.48	54.468	0	0.1	0.1
8.58	129.688	4.649	30.738	53.981	0	0.1	0.1
8.627	129.458	4.857	31.034	53.543	0	0.1	0.1
8.731	129.131	4.984	31.236	53.567	0	0.1	0.1
8.835	128.476	5.099	31.692	53.252	0	0.1	0.1
8.939	128.585	4.723	31.93	52.997	0	0.1	0.1
9.014	128.692	4.402	32.398	52.653	0	0.1	0.1
9.081	128.04	4.713	32.359	52.569	0	0.1	0.1
9.172	127.931	4.482	32.221	52.504	0	0.1	0.1
9.211	127.822	4.25	32.185	52.137	0	0.1	0.1
9.289	128.367	4.346	32.262	51.959	0	0.1	0.1
9.37	128.692	3.984	32.398	51.989	0	0.1	0.1
9.405	128.149	4.264	32.463	51.458	0	0.1	0.1
9.509	127.931	5.022	32.439	51.32	0	0.1	0.1
9.678	127.822	4.291	32.73	51.297	0	0.1	0.1
9.768	128.04	4.032	33.299	51.006	0	0.1	0.1
9.843	127.696	4.448	33.726	50.993	0	0.1	0.1
9.924	127.604	4.468	34.031	50.5	0	0.1	0.1
10.066	127.822	4.25	34.398	50.049	0	0.1	0.1
10.118	127.604	4.127	34.548	49.667	0	0.1	0.1
10.235	127.604	4.468	34.75	49.438	0	0.1	0.1
10.287	128.149	3.923	34.928	49.176	0	0.1	0.1
10.356	128.36	3.984	35.054	49	0	0.1	0.1
10.455	128.476	3.937	35.255	48.694	0	0.1	0.1
10.585	128.912	3.601	35.421	48.431	0	0.1	0.1
10.65	129.24	3.473	35.724	48.27	0	0.1	0.1
10.712	130.352	3.061	36.051	48.336	0	0.1	0.1
10.857	130.548	3.405	36.418	48.117	0	0.1	0.1
10.961	130.657	3.984	37.097	47.515	0	0.1	0.1
11.065	130.985	3.511	37.205	47.074	0	0.1	0.1
11.146	131.016	3.121	37.379	47.008	0	0.1	0.1
11.259	131.312	2.803	37.521	47.186	0	0.1	0.1
11.35	131.312	2.944	37.699	46.706	0	0.1	0.1
11.428	130.767	3.148	37.839	46.456	0	0.1	0.1
11.54	131.016	2.921	38.043	46.344	0	0.1	0.1
11.622	131.203	3.593	38.03	46.128	0	0.1	0.1
11.713	131.639	3.03	38.13	45.865	0	0.1	0.1
11.817	131.68	3.116	38.043	45.68	0	0.1	0.1
11.894	132.075	3.062	38.005	45.489	0	0.1	0.1
11.959	132.294	3.039	37.993	45.465	0	0.1	0.1
12.014	132.012	3.125	37.711	45.348	0	0.1	0.1
12.076	132.403	3.075	37.767	45.113	0	0.1	0.1
12.172	133.341	3.32	37.711	45.016	0	0.1	0.1
12.283	133.493	3.006	37.841	44.887	0	0.1	0.1
12.335	133.166	3.052	37.969	44.64	0	0.1	0.1
12.409	132.676	3.653	38.043	44.352	0	0.1	0.1
12.478	133.057	3.823	38.296	44.033	0	0.1	0.1
12.53	133.82	3.02	38.247	44.021	0	0.1	0.1
12.595	133.93	2.91	38.223	43.883	0	0.1	0.1
12.685	133.008	3.653	38.043	44.02	0	0.1	0.1
12.75	133.602	3.238	37.755	43.782	0	0.1	0.1
12.843	134.337	3.984	37.711	43.356	0	0.1	0.1
12.971	133.711	3.669	37.792	43.008	0	0.1	0.1
13.08	134.337	4.465	37.711	43.024	0	0.1	0.1
13.113	135.129	4.356	37.691	43.033	0	0.1	0.1
13.198	135.665	3.652	37.379	42.691	0	0.1	0.1
13.269	134.584	4.299	37.109	42.399	0	0.1	0.1
13.396	134.337	4.68	37.047	42.359	0	0.1	0.1
