Galaxy,Alpha,Beta
ddo47_rotmas_input_velocities,-14040.117630563218,0.8943227073714647
ngc2366_rotmas_input_velocities,2617.7751870381226,1.5933873376001515
ic1613_rotmas_input_velocities,12815.72589020711,0.9200918304591602
ddo43_rotmas_input_velocities,-14267.512145844095,0.9576391609322417
ddo46_rotmas_input_velocities,412.34947811972285,2.609599564434768
haro36_rotmas_input_velocities,26366.746026494802,1.022486780127711
ddo133_rotmas_input_velocities,30809.047045403197,1.4326849911073456
f564_v3_rotmas_input_velocities,6889.408972171012,1.742426760225955
ddo50_rotmas_input_velocities,558.5148191811243,1.0411864704587415
ddo168_rotmas_input_velocities,26068.121820195032,0.9627556285706208
