Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
M31_Carignan_SNC,0.28115631062710617,10.204442192635963,0.9525918018742477,0.7351240581324484,4.62355371405358e-06 
NGC925_TokyCarignan_Original,7.629352487194201,2.5701994706068027e-10,1.2622625962308114,1.0,4.62355371405358e-06 
N891_Fraternalli,0.65683574943148,3.122836542692424,0.9852010829086235,0.897286264119378,4.62355371405358e-06 
NGC7793_GentileTaM,30.115370847130023,1.8898978780284414e-13,1.6108082286704482,1.0,4.62355371405358e-06 
M31_Carignan_SNC2,0.2646425567442005,10.048462826522647,0.9457377833710299,0.7513246632895016,4.62355371405358e-06 
NGC2403_Botteman_LCM,155.90983812315295,1.4794057592706013e-09,1.3672774386818412,1.0,4.62355371405358e-06 
N891_Fraternalli2,0.65683574943148,3.122836542692424,0.9852010829086235,0.897286264119378,4.62355371405358e-06 
NGC2903_Gentile TaM,1.1064585802544336,6.691240493816761,1.0232430459176347,1.0,4.62355371405358e-06 
NGC2903 deBlok,5.643837313408311,6.827095794440272,1.765197332755163,1.0,4.62355371405358e-06 
M33_Corbelli_LCM,20.674884637490223,0.2803869638082797,1.2044516768380202,1.0,4.62355371405358e-06 
NGC5055_deBlok,1.7827841256069819,6.4502920910395165,0.7385787261178728,1.0359974991928322,4.62355371405358e-06 
NGC7793_DicaireISO,0.9171189656947637,8.878855330006218e-11,1.1355796869699457,1.0,4.62355371405358e-06 
N0891 Fraternalli,0.65683574943148,3.122836542692424,0.9852010829086235,0.897286264119378,4.62355371405358e-06 
N2841_TaM_original,1.0225066962332225,29.76653347064265,1.0061240166085728,7.608076569047204e-07,4.62355371405358e-06 
