# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.22	1.52	3.59	-0.69	1.18	0.00	0.00	0.00
0.45	8.91	3.27	0.86	2.10	0.00	0.00	0.00
0.67	13.84	2.29	2.68	2.75	0.00	0.00	0.00
0.90	17.29	2.77	4.01	3.22	0.00	0.00	0.00
1.12	18.16	3.06	3.73	3.63	0.00	0.00	0.00
1.34	20.66	2.96	2.29	3.96	0.00	0.00	0.00
1.57	21.76	2.71	1.44	4.31	0.00	0.00	0.00
1.79	26.62	2.98	4.21	4.67	0.00	0.00	0.00
2.02	28.06	2.59	5.08	4.91	0.00	0.00	0.00
2.24	29.78	2.97	7.06	5.04	0.00	0.00	0.00
2.46	32.59	3.22	8.60	5.20	0.00	0.00	0.00
2.69	34.12	2.71	9.62	5.42	0.00	0.00	0.00
2.91	35.30	3.34	9.48	5.67	0.00	0.00	0.00
3.14	37.02	3.45	8.47	5.73	0.00	0.00	0.00
3.36	38.55	3.53	8.65	5.76	0.00	0.00	0.00
3.58	39.15	3.71	8.69	5.99	0.00	0.00	0.00
3.81	39.53	3.35	8.05	6.22	0.00	0.00	0.00
4.03	39.94	3.99	8.92	6.42	0.00	0.00	0.00
4.26	41.30	3.88	11.68	6.40	0.00	0.00	0.00
4.48	42.75	3.14	13.83	6.45	0.00	0.00	0.00
4.70	45.96	3.06	15.21	6.41	0.00	0.00	0.00
4.93	48.13	3.23	16.77	6.51	0.00	0.00	0.00
5.15	48.79	3.61	17.58	6.64	0.00	0.00	0.00
5.38	47.65	3.33	17.25	6.67	0.00	0.00	0.00
5.60	50.86	3.34	16.80	6.74	0.00	0.00	0.00
5.82	52.85	3.25	16.57	6.69	0.00	0.00	0.00
6.05	52.35	3.62	16.07	6.73	0.00	0.00	0.00
6.27	50.28	3.70	15.69	6.54	0.00	0.00	0.00
6.50	49.26	3.58	15.27	6.41	0.00	0.00	0.00
6.72	48.27	3.28	14.78	6.34	0.00	0.00	0.00
6.94	50.75	3.37	15.16	6.38	0.00	0.00	0.00
7.17	51.24	2.54	15.98	6.73	0.00	0.00	0.00
7.39	49.33	3.01	17.01	7.17	0.00	0.00	0.00
