# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.34	13.10	8.53	3.72	2.89	0.00	0.00	0.00
0.68	20.52	6.62	6.29	4.92	0.00	0.00	0.00
1.02	28.53	6.33	7.76	6.27	0.00	0.00	0.00
1.36	32.50	3.45	7.28	7.40	0.00	0.00	0.00
1.70	37.64	3.54	6.66	8.26	0.00	0.00	0.00
2.04	43.22	3.67	7.39	8.28	0.00	0.00	0.00
2.38	47.10	4.15	9.08	8.62	0.00	0.00	0.00
2.72	48.72	3.67	12.13	9.01	0.00	0.00	0.00
3.06	49.74	3.41	13.25	8.98	0.00	0.00	0.00
3.40	53.68	2.96	14.97	8.73	0.00	0.00	0.00
3.74	56.30	3.27	16.46	8.52	0.00	0.00	0.00
4.07	57.05	3.76	18.55	8.43	0.00	0.00	0.00
4.41	58.71	4.15	20.66	8.40	0.00	0.00	0.00
4.75	59.48	4.34	20.93	8.30	0.00	0.00	0.00
5.09	58.17	4.69	20.49	8.11	0.00	0.00	0.00
5.43	57.87	5.07	20.73	8.33	0.00	0.00	0.00
