# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.13	3.08	2.92	1.44	0.75	0.00	0.00	0.00
0.27	6.96	1.79	2.78	1.41	0.00	0.00	0.00
0.40	8.41	1.48	3.74	2.08	0.00	0.00	0.00
0.53	12.24	2.63	3.75	2.77	0.00	0.00	0.00
0.67	11.62	2.96	5.25	3.30	0.00	0.00	0.00
0.80	13.77	3.04	7.51	3.76	0.00	0.00	0.00
0.93	16.07	2.69	8.51	4.19	0.00	0.00	0.00
1.06	18.66	3.12	8.88	4.49	0.00	0.00	0.00
1.20	19.00	3.06	9.20	4.68	0.00	0.00	0.00
1.33	21.44	2.68	10.28	4.92	0.00	0.00	0.00
1.46	22.59	2.79	10.94	5.12	0.00	0.00	0.00
1.60	24.41	2.52	10.87	5.26	0.00	0.00	0.00
1.73	26.00	1.66	11.21	5.32	0.00	0.00	0.00
1.86	27.89	1.93	11.42	5.44	0.00	0.00	0.00
2.00	28.72	2.12	11.66	5.61	0.00	0.00	0.00
2.13	31.28	2.39	12.61	5.70	0.00	0.00	0.00
2.26	32.51	2.93	13.30	5.70	0.00	0.00	0.00
2.39	31.71	2.56	14.56	5.71	0.00	0.00	0.00
2.53	34.08	2.95	15.75	5.83	0.00	0.00	0.00
2.66	34.01	3.34	16.52	5.96	0.00	0.00	0.00
2.79	35.19	3.23	17.07	6.07	0.00	0.00	0.00
2.93	35.92	3.14	17.30	6.07	0.00	0.00	0.00
3.06	35.59	2.88	17.72	5.98	0.00	0.00	0.00
3.19	34.56	2.49	17.65	5.92	0.00	0.00	0.00
3.33	34.55	2.79	17.14	5.80	0.00	0.00	0.00
3.46	33.86	2.36	17.09	5.73	0.00	0.00	0.00
3.59	34.01	2.22	17.37	5.68	0.00	0.00	0.00
3.72	34.20	2.28	17.00	5.68	0.00	0.00	0.00
3.86	33.60	2.08	16.70	5.69	0.00	0.00	0.00
3.99	32.70	2.07	16.74	5.82	0.00	0.00	0.00
