   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   1.47E+00   6.62E+01   8.50E+01   1.90E+01   5.22E+01   5.55E+00   0.00E+00
   2.94E+00   8.98E+01   1.02E+02   1.50E+01   6.88E+01   8.80E+00   0.00E+00
   4.41E+00   1.07E+02   1.21E+02   1.00E+01   8.15E+01   8.80E+00   0.00E+00
   5.88E+00   1.23E+02   1.34E+02   1.00E+00   9.19E+01   8.57E+00   0.00E+00
   7.34E+00   1.34E+02   1.47E+02   3.00E+00   9.82E+01   1.71E+01   0.00E+00
   8.81E+00   1.47E+02   1.60E+02   5.00E+00   1.07E+02   1.97E+01   0.00E+00
   1.03E+01   1.55E+02   1.67E+02   9.00E+00   1.10E+02   2.95E+01   0.00E+00
   1.18E+01   1.62E+02   1.70E+02   1.00E+01   1.11E+02   3.62E+01   0.00E+00
   1.32E+01   1.71E+02   1.70E+02   8.00E+00   1.14E+02   4.58E+01   0.00E+00
   1.47E+01   1.76E+02   1.69E+02   2.00E+00   1.13E+02   4.89E+01   0.00E+00
   1.62E+01   1.71E+02   1.66E+02   1.00E+00   9.98E+01   5.35E+01   0.00E+00
   1.76E+01   1.67E+02   1.63E+02   1.00E+00   9.11E+01   5.11E+01   0.00E+00
   1.91E+01   1.65E+02   1.63E+02   1.00E+00   8.53E+01   5.04E+01   0.00E+00
   2.06E+01   1.64E+02   1.66E+02   2.00E+00   8.08E+01   4.82E+01   0.00E+00
   2.20E+01   1.64E+02   1.65E+02   2.00E+00   7.72E+01   5.01E+01   0.00E+00
   2.35E+01   1.66E+02   1.65E+02   2.00E+00   7.40E+01   5.38E+01   0.00E+00
   2.50E+01   1.70E+02   1.66E+02   4.00E+00   7.13E+01   5.95E+01   0.00E+00
   2.64E+01   1.73E+02   1.64E+02   4.00E+00   6.89E+01   6.35E+01   0.00E+00
   2.79E+01   1.71E+02   1.61E+02   5.00E+00   6.68E+01   5.94E+01   0.00E+00
   2.94E+01   1.72E+02   1.59E+02   7.00E+00   6.48E+01   6.01E+01   0.00E+00
