   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   5.77E-01   1.96E+02   2.06E+02   1.60E+01   1.96E+02   2.12E+00   0.00E+00
   1.73E+00   2.31E+02   2.14E+02   1.00E+01   2.30E+02   4.48E+00   0.00E+00
   2.88E+00   2.38E+02   2.22E+02   8.00E+00   2.36E+02   7.38E+00   0.00E+00
   4.04E+00   2.34E+02   2.24E+02   8.00E+00   2.30E+02   1.45E+01   0.00E+00
   5.19E+00   2.21E+02   2.25E+02   8.00E+00   2.13E+02   1.95E+01   0.00E+00
   6.06E+00   2.13E+02   2.22E+02   6.00E+00   2.01E+02   2.14E+01   0.00E+00
   7.79E+00   2.05E+02   2.20E+02   3.00E+00   1.85E+02   2.48E+01   0.00E+00
   9.52E+00   2.16E+02   2.18E+02   2.00E+00   1.91E+02   2.63E+01   0.00E+00
   1.13E+01   2.10E+02   2.19E+02   2.00E+00   1.77E+02   3.17E+01   0.00E+00
   1.30E+01   2.13E+02   2.17E+02   2.00E+00   1.72E+02   3.63E+01   0.00E+00
   1.47E+01   2.14E+02   2.18E+02   2.00E+00   1.68E+02   3.98E+01   0.00E+00
   1.64E+01   2.19E+02   2.20E+02   2.00E+00   1.66E+02   4.52E+01   0.00E+00
   1.82E+01   2.24E+02   2.22E+02   2.00E+00   1.66E+02   4.94E+01   0.00E+00
   1.99E+01   2.23E+02   2.18E+02   3.00E+00   1.58E+02   5.08E+01   0.00E+00
   2.16E+01   2.15E+02   2.17E+02   3.00E+00   1.43E+02   4.94E+01   0.00E+00
   2.34E+01   2.11E+02   2.07E+02   3.00E+00   1.35E+02   4.64E+01   0.00E+00
   2.51E+01   2.09E+02   1.99E+02   3.00E+00   1.29E+02   4.47E+01   0.00E+00
   2.68E+01   2.07E+02   1.91E+02   3.00E+00   1.24E+02   4.24E+01   0.00E+00
   2.86E+01   2.06E+02   1.93E+02   3.00E+00   1.19E+02   4.07E+01   0.00E+00
   3.03E+01   2.05E+02   1.92E+02   3.00E+00   1.15E+02   3.94E+01   0.00E+00
   3.20E+01   2.04E+02   1.94E+02   4.00E+00   1.12E+02   3.83E+01   0.00E+00
   3.38E+01   2.04E+02   1.96E+02   5.00E+00   1.08E+02   3.73E+01   0.00E+00
