   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.85E+00   1.11E+02   1.07E+02   2.85E+00   5.83E+01   3.67E+01   0.00E+00
   7.97E+00   1.11E+02   1.08E+02   2.96E+00   5.80E+01   3.71E+01   0.00E+00
   8.09E+00   1.11E+02   1.07E+02   2.03E+00   5.78E+01   3.73E+01   0.00E+00
   8.21E+00   1.11E+02   1.07E+02   1.13E+00   5.76E+01   3.71E+01   0.00E+00
   8.34E+00   1.12E+02   1.07E+02   8.30E-01   5.73E+01   3.72E+01   0.00E+00
   8.46E+00   1.12E+02   1.11E+02   3.10E-01   5.72E+01   3.69E+01   0.00E+00
   8.58E+00   1.12E+02   1.17E+02   3.14E+00   5.70E+01   3.65E+01   0.00E+00
   8.71E+00   1.12E+02   1.16E+02   3.00E+00   5.69E+01   3.61E+01   0.00E+00
   8.83E+00   1.12E+02   1.18E+02   3.34E+00   5.69E+01   3.56E+01   0.00E+00
   8.95E+00   1.13E+02   1.15E+02   1.20E-01   5.72E+01   3.71E+01   0.00E+00
