   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   2.56E+00   1.98E+02   1.85E+02   5.00E+00   1.82E+02   0.00E+00   7.10E+01
   5.12E+00   2.23E+02   2.20E+02   1.50E+01   2.10E+02   0.00E+00   5.02E+01
   7.68E+00   2.19E+02   2.10E+02   2.50E+01   1.99E+02   0.00E+00   4.10E+01
   1.02E+01   2.09E+02   2.10E+02   1.00E+01   1.79E+02   0.00E+00   3.55E+01
   1.28E+01   2.01E+02   2.10E+02   1.00E+01   1.59E+02   0.00E+00   3.18E+01
   1.54E+01   1.96E+02   2.06E+02   5.00E+00   1.43E+02   0.00E+00   2.90E+01
   1.79E+01   1.91E+02   2.06E+02   5.00E+00   1.30E+02   0.00E+00   2.68E+01
   2.05E+01   1.88E+02   2.06E+02   1.00E+01   1.19E+02   0.00E+00   2.51E+01
   2.30E+01   1.86E+02   1.90E+02   1.50E+01   1.11E+02   0.00E+00   2.37E+01
   2.56E+01   1.85E+02   1.75E+02   1.00E+01   1.05E+02   0.00E+00   2.25E+01
   2.82E+01   1.84E+02   1.52E+02   1.00E+01   9.98E+01   0.00E+00   2.14E+01
