   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   7.46E+01   3.78E+01   9.00E+00   7.07E+01   0.00E+00   0.00E+00
   1.50E+00   1.04E+02   8.01E+01   9.00E+00   9.83E+01   0.00E+00   0.00E+00
   2.25E+00   1.19E+02   1.21E+02   8.50E+00   1.10E+02   0.00E+00   0.00E+00
   3.01E+00   1.29E+02   1.42E+02   7.30E+00   1.17E+02   8.04E+00   0.00E+00
   3.76E+00   1.42E+02   1.53E+02   6.20E+00   1.28E+02   1.34E+01   0.00E+00
   4.51E+00   1.52E+02   1.60E+02   5.30E+00   1.35E+02   1.71E+01   0.00E+00
   5.26E+00   1.61E+02   1.62E+02   5.30E+00   1.42E+02   2.05E+01   0.00E+00
   6.01E+00   1.66E+02   1.67E+02   4.50E+00   1.45E+02   2.33E+01   0.00E+00
   6.76E+00   1.70E+02   1.69E+02   5.30E+00   1.46E+02   2.48E+01   0.00E+00
   7.51E+00   1.72E+02   1.71E+02   4.90E+00   1.45E+02   2.62E+01   0.00E+00
   8.27E+00   1.73E+02   1.71E+02   4.90E+00   1.43E+02   2.75E+01   0.00E+00
   9.02E+00   1.74E+02   1.70E+02   5.70E+00   1.39E+02   2.81E+01   0.00E+00
   9.77E+00   1.73E+02   1.69E+02   7.00E+00   1.36E+02   2.81E+01   0.00E+00
