   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   8.14E-01   4.15E+01   3.46E+01   9.00E-01   2.91E+01   2.50E+00   0.00E+00
   1.22E+00   4.88E+01   4.70E+01   8.00E-01   3.31E+01   3.67E+00   0.00E+00
   1.63E+00   5.40E+01   5.91E+01   3.10E+00   3.53E+01   4.81E+00   0.00E+00
   2.04E+00   6.00E+01   6.44E+01   1.40E+00   3.90E+01   6.11E+00   0.00E+00
   2.44E+00   6.40E+01   6.74E+01   2.30E+00   4.04E+01   7.60E+00   0.00E+00
   2.85E+00   6.78E+01   6.98E+01   7.00E-01   4.18E+01   9.34E+00   0.00E+00
   3.26E+00   7.15E+01   7.13E+01   1.10E+00   4.32E+01   1.12E+01   0.00E+00
   3.67E+00   7.51E+01   7.32E+01   1.70E+00   4.49E+01   1.22E+01   0.00E+00
   4.07E+00   7.92E+01   7.51E+01   3.00E+00   4.75E+01   1.24E+01   0.00E+00
   4.48E+00   8.12E+01   7.85E+01   3.80E+00   4.75E+01   1.34E+01   0.00E+00
   4.89E+00   8.31E+01   8.14E+01   5.00E+00   4.72E+01   1.52E+01   0.00E+00
   5.29E+00   8.54E+01   8.35E+01   7.00E+00   4.73E+01   1.75E+01   0.00E+00
   5.70E+00   8.80E+01   8.71E+01   7.20E+00   4.75E+01   2.03E+01   0.00E+00
   6.11E+00   8.98E+01   9.07E+01   4.80E+00   4.70E+01   2.23E+01   0.00E+00
   6.52E+00   9.17E+01   9.31E+01   1.40E+00   4.69E+01   2.38E+01   0.00E+00
   6.92E+00   9.35E+01   9.59E+01   2.10E+00   4.66E+01   2.55E+01   0.00E+00
   7.33E+00   9.54E+01   9.84E+01   5.20E+00   4.64E+01   2.74E+01   0.00E+00
   7.74E+00   9.72E+01   1.01E+02   8.20E+00   4.59E+01   2.91E+01   0.00E+00
   8.14E+00   9.89E+01   1.03E+02   9.40E+00   4.56E+01   3.06E+01   0.00E+00
   8.55E+00   1.00E+02   1.04E+02   9.40E+00   4.50E+01   3.17E+01   0.00E+00
   8.96E+00   1.01E+02   1.05E+02   8.90E+00   4.45E+01   3.22E+01   0.00E+00
   9.37E+00   1.02E+02   1.05E+02   8.40E+00   4.37E+01   3.22E+01   0.00E+00
   9.77E+00   1.03E+02   1.05E+02   9.00E+00   4.45E+01   3.16E+01   0.00E+00
   1.02E+01   1.03E+02   1.06E+02   8.40E+00   4.41E+01   3.07E+01   0.00E+00
   1.06E+01   1.03E+02   1.08E+02   7.70E+00   4.40E+01   2.96E+01   0.00E+00
   1.10E+01   1.03E+02   1.07E+02   9.20E+00   4.33E+01   2.84E+01   0.00E+00
