   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   4.46E+01   4.71E+01   8.20E+00   3.40E+01   2.32E+00   0.00E+00
   1.50E+00   6.03E+01   6.59E+01   6.60E+00   4.43E+01   5.36E+00   0.00E+00
   2.25E+00   7.12E+01   7.61E+01   5.60E+00   5.02E+01   1.08E+01   0.00E+00
   3.01E+00   8.03E+01   8.57E+01   5.60E+00   5.54E+01   1.29E+01   0.00E+00
   3.76E+00   8.67E+01   9.66E+01   5.20E+00   5.75E+01   1.66E+01   0.00E+00
   4.51E+00   9.29E+01   9.93E+01   5.20E+00   5.91E+01   2.18E+01   0.00E+00
   5.26E+00   9.72E+01   1.03E+02   5.20E+00   5.95E+01   2.41E+01   0.00E+00
   6.01E+00   1.02E+02   1.07E+02   5.20E+00   6.06E+01   2.55E+01   0.00E+00
   6.76E+00   1.06E+02   1.11E+02   5.20E+00   6.11E+01   2.92E+01   0.00E+00
   7.51E+00   1.10E+02   1.14E+02   6.10E+00   6.12E+01   3.29E+01   0.00E+00
   8.27E+00   1.11E+02   1.15E+02   6.10E+00   5.85E+01   3.38E+01   0.00E+00
   9.02E+00   1.12E+02   1.11E+02   5.60E+00   5.65E+01   3.51E+01   0.00E+00
   9.77E+00   1.15E+02   1.10E+02   5.60E+00   5.48E+01   3.88E+01   0.00E+00
   1.06E+01   1.15E+02   1.11E+02   5.20E+00   5.28E+01   3.73E+01   0.00E+00
   1.13E+01   1.14E+02   1.09E+02   4.80E+00   5.09E+01   3.58E+01   0.00E+00
   1.21E+01   1.14E+02   1.08E+02   4.40E+00   4.93E+01   3.54E+01   0.00E+00
   1.29E+01   1.16E+02   1.09E+02   5.20E+00   4.77E+01   3.62E+01   0.00E+00
   1.38E+01   1.16E+02   1.11E+02   5.30E+00   4.62E+01   3.55E+01   0.00E+00
   1.46E+01   1.15E+02   1.10E+02   4.90E+00   4.49E+01   3.39E+01   0.00E+00
   1.54E+01   1.16E+02   1.09E+02   4.90E+00   4.34E+01   3.47E+01   0.00E+00
   1.63E+01   1.16E+02   1.10E+02   5.30E+00   4.20E+01   3.42E+01   0.00E+00
   1.72E+01   1.16E+02   1.12E+02   1.02E+01   4.09E+01   3.31E+01   0.00E+00
   1.81E+01   1.16E+02   1.13E+02   1.15E+01   3.97E+01   3.28E+01   0.00E+00
