   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   6.53E+01   3.96E+01   4.90E+00   5.99E+01   0.00E+00   0.00E+00
   1.50E+00   8.07E+01   7.30E+01   5.20E+00   7.02E+01   5.50E+00   0.00E+00
   2.25E+00   9.08E+01   8.94E+01   6.60E+00   7.58E+01   6.78E+00   0.00E+00
   3.01E+00   1.04E+02   1.02E+02   5.30E+00   8.56E+01   1.25E+01   0.00E+00
   3.76E+00   1.11E+02   1.10E+02   4.40E+00   8.94E+01   1.55E+01   0.00E+00
   4.51E+00   1.20E+02   1.16E+02   4.40E+00   9.44E+01   1.94E+01   0.00E+00
   5.26E+00   1.25E+02   1.23E+02   4.40E+00   9.56E+01   2.29E+01   0.00E+00
   6.01E+00   1.27E+02   1.30E+02   3.90E+00   9.30E+01   2.63E+01   0.00E+00
   6.46E+00   1.27E+02   1.31E+02   7.30E+00   9.10E+01   2.80E+01   0.00E+00
   6.76E+00   1.27E+02   1.34E+02   6.10E+00   8.92E+01   2.84E+01   0.00E+00
   7.51E+00   1.27E+02   1.34E+02   4.90E+00   8.56E+01   2.79E+01   0.00E+00
