   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   3.20E+00   2.18E+02   2.14E+02   6.00E+00   1.45E+02   0.00E+00   1.58E+02
   4.80E+00   2.27E+02   2.20E+02   6.00E+00   1.69E+02   0.00E+00   1.41E+02
   6.40E+00   2.31E+02   2.35E+02   4.00E+00   1.80E+02   0.00E+00   1.29E+02
   8.00E+00   2.31E+02   2.35E+02   4.00E+00   1.83E+02   1.35E+01   1.15E+02
   9.60E+00   2.30E+02   2.30E+02   2.00E+00   1.80E+02   1.95E+01   1.05E+02
   1.12E+01   2.29E+02   2.31E+02   2.00E+00   1.76E+02   2.48E+01   9.74E+01
   1.28E+01   2.27E+02   2.32E+02   2.00E+00   1.69E+02   3.37E+01   9.11E+01
   1.44E+01   2.26E+02   2.25E+02   7.00E+00   1.62E+02   4.28E+01   8.59E+01
   1.60E+01   2.24E+02   2.24E+02   7.00E+00   1.55E+02   3.97E+01   8.15E+01
   1.76E+01   2.23E+02   2.29E+02   2.00E+00   1.49E+02   4.33E+01   7.77E+01
   1.92E+01   2.27E+02   2.18E+02   2.00E+00   1.48E+02   5.11E+01   7.44E+01
   2.08E+01   2.19E+02   2.14E+02   2.00E+00   1.33E+02   4.91E+01   7.15E+01
   2.24E+01   2.17E+02   2.13E+02   2.00E+00   1.26E+02   5.18E+01   6.89E+01
   2.40E+01   2.15E+02   2.11E+02   2.00E+00   1.20E+02   4.94E+01   6.65E+01
   2.56E+01   2.14E+02   2.17E+02   2.00E+00   1.15E+02   5.04E+01   6.44E+01
   2.72E+01   2.13E+02   2.16E+02   3.00E+00   1.11E+02   4.84E+01   6.25E+01
   2.88E+01   2.12E+02   2.15E+02   3.00E+00   1.07E+02   4.83E+01   6.07E+01
   3.04E+01   2.12E+02   2.17E+02   5.00E+00   1.04E+02   4.79E+01   5.91E+01
   3.20E+01   2.12E+02   2.14E+02   5.00E+00   1.01E+02   4.97E+01   5.76E+01
