   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   1.67E+00   3.10E+02   3.05E+02   1.00E+01   5.37E+01   0.00E+00   3.05E+02
   3.34E+00   2.81E+02   2.57E+02   1.00E+01   8.87E+01   0.00E+00   2.65E+02
   6.68E+00   2.35E+02   2.56E+02   1.00E+01   1.15E+02   0.00E+00   1.92E+02
   1.34E+01   2.23E+02   2.71E+02   1.00E+01   1.31E+02   0.00E+00   1.36E+02
   1.91E+01   2.56E+02   2.82E+02   1.00E+01   1.80E+02   0.00E+00   1.14E+02
   2.29E+01   2.69E+02   2.87E+02   1.00E+01   1.89E+02   2.85E+01   1.04E+02
   2.67E+01   2.78E+02   2.83E+02   1.00E+01   1.92E+02   3.98E+01   9.61E+01
   3.06E+01   2.89E+02   2.80E+02   1.00E+01   1.99E+02   4.46E+01   8.99E+01
   3.44E+01   2.97E+02   2.80E+02   1.00E+01   2.02E+02   4.98E+01   8.47E+01
   3.82E+01   2.98E+02   2.81E+02   1.00E+01   1.93E+02   5.91E+01   8.04E+01
   4.20E+01   2.98E+02   2.82E+02   1.00E+01   1.83E+02   6.65E+01   7.67E+01
   4.58E+01   2.96E+02   2.87E+02   1.00E+01   1.76E+02   6.44E+01   7.34E+01
   4.97E+01   2.98E+02   2.92E+02   1.00E+01   1.69E+02   7.05E+01   7.05E+01
   5.35E+01   3.02E+02   2.98E+02   1.00E+01   1.65E+02   7.84E+01   6.79E+01
   5.73E+01   2.99E+02   2.98E+02   1.00E+01   1.54E+02   8.25E+01   6.56E+01
   6.11E+01   2.96E+02   2.98E+02   1.00E+01   1.45E+02   8.25E+01   6.36E+01
   6.49E+01   2.95E+02   2.98E+02   1.00E+01   1.38E+02   8.20E+01   6.17E+01
   6.88E+01   2.96E+02   2.98E+02   1.00E+01   1.33E+02   8.50E+01   5.99E+01
   7.26E+01   2.96E+02   2.98E+02   1.00E+01   1.28E+02   8.54E+01   5.83E+01
