   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   2.13E+02   1.89E+02   1.00E+01   1.86E+02   0.00E+00   1.02E+02
   3.00E+00   2.22E+02   2.12E+02   5.00E+00   2.02E+02   0.00E+00   8.47E+01
   4.50E+00   2.03E+02   2.06E+02   5.00E+00   1.83E+02   0.00E+00   6.91E+01
   6.00E+00   1.86E+02   2.00E+02   5.00E+00   1.60E+02   0.00E+00   5.99E+01
   7.50E+00   1.75E+02   1.72E+02   1.20E+01   1.41E+02   0.00E+00   5.35E+01
   9.00E+00   1.68E+02   1.90E+02   1.00E+01   1.26E+02   0.00E+00   4.89E+01
   1.05E+01   1.64E+02   1.69E+02   1.00E+01   1.15E+02   0.00E+00   4.53E+01
   1.20E+01   1.61E+02   1.50E+02   1.00E+01   1.07E+02   0.00E+00   4.23E+01
   1.50E+01   1.58E+02   1.60E+02   1.00E+01   9.42E+01   0.00E+00   3.79E+01
   1.65E+01   1.57E+02   1.55E+02   1.00E+01   8.95E+01   0.00E+00   3.61E+01
   1.80E+01   1.57E+02   1.51E+02   1.20E+01   8.55E+01   0.00E+00   3.46E+01
