   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   3.01E+00   1.06E+02   1.02E+02   7.00E+00   8.96E+01   0.00E+00   0.00E+00
   4.51E+00   1.29E+02   1.25E+02   6.10E+00   1.09E+02   0.00E+00   0.00E+00
   6.01E+00   1.41E+02   1.45E+02   4.90E+00   1.15E+02   8.13E+00   0.00E+00
   7.51E+00   1.51E+02   1.64E+02   3.90E+00   1.18E+02   2.21E+01   0.00E+00
   9.02E+00   1.56E+02   1.62E+02   4.80E+00   1.17E+02   2.89E+01   0.00E+00
   1.05E+01   1.62E+02   1.60E+02   4.80E+00   1.16E+02   3.46E+01   0.00E+00
   1.20E+01   1.66E+02   1.56E+02   4.80E+00   1.12E+02   4.31E+01   0.00E+00
   1.38E+01   1.68E+02   1.46E+02   4.85E+00   1.06E+02   4.93E+01   0.00E+00
   1.92E+01   1.60E+02   1.58E+02   4.90E+00   8.14E+01   4.47E+01   0.00E+00
   2.37E+01   1.57E+02   1.68E+02   1.06E+01   7.15E+01   3.96E+01   0.00E+00
   2.59E+01   1.56E+02   1.69E+02   1.06E+01   6.81E+01   3.76E+01   0.00E+00
   2.80E+01   1.56E+02   1.67E+02   1.52E+01   6.50E+01   3.62E+01   0.00E+00
