   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   5.07E+01   2.43E+01   3.90E+00   4.20E+01   0.00E+00   0.00E+00
   1.50E+00   6.48E+01   4.96E+01   3.90E+00   5.14E+01   0.00E+00   0.00E+00
   2.25E+00   7.63E+01   7.36E+01   5.20E+00   5.86E+01   0.00E+00   0.00E+00
   3.01E+00   9.15E+01   1.01E+02   4.40E+00   7.05E+01   6.85E+00   0.00E+00
   3.76E+00   1.02E+02   1.07E+02   3.50E+00   7.84E+01   1.24E+01   0.00E+00
   4.51E+00   1.12E+02   1.15E+02   3.50E+00   8.60E+01   1.30E+01   0.00E+00
   5.26E+00   1.19E+02   1.23E+02   3.90E+00   9.09E+01   1.13E+01   0.00E+00
   6.01E+00   1.26E+02   1.30E+02   3.90E+00   9.45E+01   1.70E+01   0.00E+00
   6.76E+00   1.31E+02   1.34E+02   3.50E+00   9.59E+01   1.98E+01   0.00E+00
   7.51E+00   1.33E+02   1.36E+02   3.90E+00   9.56E+01   2.02E+01   0.00E+00
   8.27E+00   1.36E+02   1.37E+02   4.00E+00   9.45E+01   2.54E+01   0.00E+00
   9.02E+00   1.38E+02   1.36E+02   3.50E+00   9.32E+01   2.74E+01   0.00E+00
   9.77E+00   1.39E+02   1.37E+02   3.50E+00   9.11E+01   2.98E+01   0.00E+00
   1.05E+01   1.40E+02   1.37E+02   3.50E+00   8.83E+01   3.05E+01   0.00E+00
   1.13E+01   1.39E+02   1.37E+02   5.00E+00   8.55E+01   2.86E+01   0.00E+00
   1.20E+01   1.38E+02   1.38E+02   5.00E+00   8.15E+01   2.97E+01   0.00E+00
   1.28E+01   1.37E+02   1.37E+02   7.50E+00   7.76E+01   2.95E+01   0.00E+00
