   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   1.32E+02   9.64E+01   1.21E+01   1.29E+02   5.32E+00   0.00E+00
   3.01E+00   1.71E+02   1.57E+02   1.05E+01   1.65E+02   1.53E+01   0.00E+00
   4.51E+00   1.84E+02   1.92E+02   8.40E+00   1.73E+02   1.99E+01   0.00E+00
   6.01E+00   1.93E+02   2.01E+02   6.90E+00   1.78E+02   2.26E+01   0.00E+00
   7.51E+00   1.94E+02   2.01E+02   7.30E+00   1.72E+02   2.83E+01   0.00E+00
   9.02E+00   1.92E+02   1.94E+02   6.40E+00   1.60E+02   3.89E+01   0.00E+00
   1.05E+01   1.90E+02   1.90E+02   6.00E+00   1.49E+02   4.79E+01   0.00E+00
   1.20E+01   1.88E+02   1.86E+02   6.40E+00   1.41E+02   4.65E+01   0.00E+00
   1.35E+01   1.86E+02   1.84E+02   6.40E+00   1.33E+02   4.49E+01   0.00E+00
   1.50E+01   1.86E+02   1.82E+02   7.30E+00   1.27E+02   4.83E+01   0.00E+00
   1.65E+01   1.85E+02   1.81E+02   6.60E+00   1.20E+02   4.69E+01   0.00E+00
   1.80E+01   1.84E+02   1.83E+02   6.50E+00   1.15E+02   4.46E+01   0.00E+00
   1.95E+01   1.84E+02   1.85E+02   6.50E+00   1.10E+02   4.85E+01   0.00E+00
   2.10E+01   1.82E+02   1.86E+02   9.10E+00   1.04E+02   4.67E+01   0.00E+00
   2.25E+01   1.81E+02   1.86E+02   1.14E+01   1.00E+02   4.40E+01   0.00E+00
   2.40E+01   1.80E+02   1.84E+02   1.36E+01   9.70E+01   4.16E+01   0.00E+00
   2.55E+01   1.79E+02   1.85E+02   1.36E+01   9.37E+01   3.99E+01   0.00E+00
