   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   1.13E+02   8.49E+01   1.13E+01   1.08E+02   0.00E+00   0.00E+00
   3.01E+00   1.31E+02   1.36E+02   9.90E+00   1.20E+02   0.00E+00   0.00E+00
   4.51E+00   1.48E+02   1.62E+02   8.00E+00   1.32E+02   1.57E+01   0.00E+00
   6.01E+00   1.67E+02   1.79E+02   6.50E+00   1.45E+02   2.93E+01   0.00E+00
   7.51E+00   1.76E+02   1.82E+02   6.10E+00   1.47E+02   3.92E+01   0.00E+00
   9.02E+00   1.80E+02   1.79E+02   7.00E+00   1.43E+02   4.52E+01   0.00E+00
   1.05E+01   1.79E+02   1.74E+02   6.20E+00   1.34E+02   4.98E+01   0.00E+00
   1.20E+01   1.76E+02   1.71E+02   7.20E+00   1.23E+02   5.08E+01   0.00E+00
   1.35E+01   1.73E+02   1.68E+02   6.10E+00   1.13E+02   5.07E+01   0.00E+00
   1.50E+01   1.71E+02   1.65E+02   5.60E+00   1.05E+02   4.99E+01   0.00E+00
   1.58E+01   1.70E+02   1.56E+02   8.60E+00   1.02E+02   4.95E+01   0.00E+00
   1.66E+01   1.69E+02   1.71E+02   8.60E+00   9.84E+01   4.86E+01   0.00E+00
   1.85E+01   1.67E+02   1.74E+02   7.60E+00   9.17E+01   4.66E+01   0.00E+00
