   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   1.37E+00   4.62E+01   2.90E+01   1.20E+01   2.87E+01   2.58E+00   0.00E+00
   2.73E+00   6.12E+01   5.10E+01   1.20E+01   3.57E+01   5.27E+00   0.00E+00
   4.10E+00   6.89E+01   6.50E+01   1.20E+01   3.67E+01   8.05E+00   0.00E+00
   5.47E+00   7.78E+01   7.80E+01   1.00E+01   4.02E+01   1.10E+01   0.00E+00
   8.20E+00   8.69E+01   9.40E+01   1.00E+01   3.87E+01   1.79E+01   0.00E+00
   1.09E+01   9.84E+01   1.07E+02   1.00E+01   4.01E+01   2.54E+01   0.00E+00
   1.37E+01   1.10E+02   1.17E+02   8.00E+00   4.29E+01   3.10E+01   0.00E+00
   1.91E+01   1.23E+02   1.25E+02   8.00E+00   3.94E+01   4.06E+01   0.00E+00
   2.46E+01   1.32E+02   1.29E+02   8.00E+00   3.62E+01   4.48E+01   0.00E+00
   3.01E+01   1.36E+02   1.30E+02   8.00E+00   3.17E+01   4.47E+01   0.00E+00
   3.55E+01   1.32E+02   1.30E+02   8.00E+00   2.78E+01   3.91E+01   0.00E+00
   3.99E+01   1.34E+02   1.30E+02   8.00E+00   2.59E+01   3.83E+01   0.00E+00
