   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   6.01E+00   2.41E+02   2.48E+02   7.00E+00   2.34E+02   0.00E+00   0.00E+00
   9.02E+00   2.63E+02   2.64E+02   6.60E+00   2.50E+02   5.31E+00   0.00E+00
   1.20E+01   2.81E+02   2.72E+02   5.70E+00   2.62E+02   2.55E+01   0.00E+00
   1.50E+01   2.72E+02   2.71E+02   5.70E+00   2.41E+02   3.74E+01   0.00E+00
   1.80E+01   2.60E+02   2.64E+02   5.30E+00   2.15E+02   4.23E+01   0.00E+00
   2.10E+01   2.49E+02   2.42E+02   7.40E+00   1.92E+02   3.99E+01   0.00E+00
   2.40E+01   2.42E+02   2.44E+02   5.30E+00   1.76E+02   3.78E+01   0.00E+00
   2.71E+01   2.38E+02   2.41E+02   6.20E+00   1.63E+02   3.66E+01   0.00E+00
   3.01E+01   2.35E+02   2.37E+02   8.60E+00   1.53E+02   3.63E+01   0.00E+00
