   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   3.68E-01   2.12E+01   1.50E+01   4.10E+00   6.69E+00   9.84E+00   0.00E+00
   7.37E-01   3.22E+01   2.34E+01   1.30E+00   8.65E+00   1.71E+01   0.00E+00
   1.11E+00   3.75E+01   2.92E+01   1.50E+00   9.97E+00   1.90E+01   0.00E+00
   1.47E+00   4.07E+01   3.62E+01   1.10E+00   1.07E+01   1.91E+01   0.00E+00
   1.84E+00   4.47E+01   4.40E+01   1.10E+00   1.14E+01   2.08E+01   0.00E+00
   2.21E+00   4.80E+01   5.21E+01   1.20E+00   1.29E+01   2.14E+01   0.00E+00
   2.58E+00   4.90E+01   5.29E+01   1.70E+00   1.08E+01   2.17E+01   0.00E+00
   2.95E+00   4.98E+01   5.48E+01   2.20E+00   9.45E+00   2.15E+01   0.00E+00
   3.32E+00   5.09E+01   5.50E+01   2.50E+00   8.64E+00   2.15E+01   0.00E+00
   3.68E+00   5.21E+01   5.20E+01   2.70E+00   8.05E+00   2.15E+01   0.00E+00
