   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   3.25E-01   6.29E+01   9.00E+01   2.00E+01   2.27E+01   0.00E+00   5.71E+01
   9.74E-01   1.30E+02   1.25E+02   1.50E+01   2.76E+01   6.53E-01   1.26E+02
   1.95E+00   1.66E+02   1.48E+02   1.50E+01   2.60E+01   2.64E+00   1.61E+02
   2.60E+00   1.80E+02   1.80E+02   1.70E+01   5.48E+01   4.00E+00   1.67E+02
   3.57E+00   1.93E+02   2.01E+02   1.50E+01   8.93E+01   6.17E+00   1.64E+02
   7.47E+00   1.94E+02   2.06E+02   1.00E+01   1.15E+02   1.67E+01   1.29E+02
   1.23E+01   2.01E+02   2.14E+02   5.00E+00   1.24E+02   3.18E+01   1.01E+02
   1.72E+01   2.10E+02   2.12E+02   5.00E+00   1.25E+02   4.44E+01   8.56E+01
   2.21E+01   2.11E+02   2.13E+02   2.00E+00   1.13E+02   5.20E+01   7.55E+01
   2.70E+01   2.14E+02   2.14E+02   2.00E+00   1.05E+02   5.79E+01   6.84E+01
   3.18E+01   2.13E+02   2.13E+02   2.00E+00   9.06E+01   6.34E+01   6.29E+01
   3.67E+01   2.14E+02   2.13E+02   3.00E+00   8.24E+01   6.55E+01   5.86E+01
   4.16E+01   2.14E+02   2.03E+02   3.00E+00   7.65E+01   6.39E+01   5.51E+01
   4.65E+01   2.14E+02   1.98E+02   5.00E+00   7.18E+01   6.25E+01   5.21E+01
