   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   1.32E+02   6.70E+01   1.48E+01   1.29E+02   2.45E+00   0.00E+00
   2.25E+00   1.35E+02   1.20E+02   1.05E+01   1.29E+02   5.30E+00   0.00E+00
   3.01E+00   1.47E+02   1.48E+02   7.50E+00   1.38E+02   8.61E+00   0.00E+00
   3.76E+00   1.61E+02   1.68E+02   6.20E+00   1.51E+02   1.22E+01   0.00E+00
   4.51E+00   1.79E+02   1.82E+02   6.10E+00   1.68E+02   1.52E+01   0.00E+00
   5.26E+00   1.93E+02   1.90E+02   5.20E+00   1.80E+02   1.78E+01   0.00E+00
   6.01E+00   1.98E+02   1.94E+02   5.70E+00   1.84E+02   2.01E+01   0.00E+00
   6.76E+00   1.97E+02   1.95E+02   6.10E+00   1.80E+02   2.17E+01   0.00E+00
   7.51E+00   1.94E+02   1.93E+02   4.80E+00   1.73E+02   2.27E+01   0.00E+00
   8.27E+00   1.89E+02   1.92E+02   3.90E+00   1.63E+02   2.32E+01   0.00E+00
   9.02E+00   1.85E+02   1.92E+02   3.50E+00   1.55E+02   2.38E+01   0.00E+00
   9.77E+00   1.83E+02   1.91E+02   4.40E+00   1.48E+02   2.48E+01   0.00E+00
   1.05E+01   1.82E+02   1.89E+02   4.80E+00   1.45E+02   2.63E+01   0.00E+00
   1.13E+01   1.82E+02   1.85E+02   5.30E+00   1.41E+02   2.84E+01   0.00E+00
   1.20E+01   1.82E+02   1.82E+02   4.50E+00   1.37E+02   3.02E+01   0.00E+00
   1.28E+01   1.81E+02   1.79E+02   6.60E+00   1.32E+02   3.19E+01   0.00E+00
   1.35E+01   1.79E+02   1.76E+02   6.20E+00   1.28E+02   3.38E+01   0.00E+00
   1.43E+01   1.78E+02   1.74E+02   6.60E+00   1.23E+02   3.56E+01   0.00E+00
   1.50E+01   1.77E+02   1.78E+02   8.70E+00   1.19E+02   3.61E+01   0.00E+00
   1.58E+01   1.76E+02   1.77E+02   6.20E+00   1.15E+02   3.52E+01   0.00E+00
   1.65E+01   1.75E+02   1.69E+02   5.90E+00   1.12E+02   3.43E+01   0.00E+00
   1.73E+01   1.74E+02   1.58E+02   6.30E+00   1.09E+02   3.35E+01   0.00E+00
   1.81E+01   1.74E+02   1.58E+02   7.60E+00   1.06E+02   3.24E+01   0.00E+00
   1.89E+01   1.73E+02   1.58E+02   8.90E+00   1.04E+02   3.13E+01   0.00E+00
   1.96E+01   1.72E+02   1.59E+02   9.00E+00   1.02E+02   3.03E+01   0.00E+00
