   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   9.38E-01   4.49E+01   3.31E+01   3.90E+00   3.22E+01   0.00E+00   0.00E+00
   1.41E+00   5.11E+01   4.67E+01   2.70E+00   3.47E+01   0.00E+00   0.00E+00
   1.88E+00   5.65E+01   5.39E+01   4.70E+00   3.69E+01   0.00E+00   0.00E+00
   2.35E+00   6.50E+01   5.88E+01   2.50E+00   4.29E+01   2.91E+00   0.00E+00
   2.81E+00   7.10E+01   6.56E+01   2.60E+00   4.62E+01   7.52E+00   0.00E+00
   3.28E+00   7.26E+01   7.08E+01   2.70E+00   4.50E+01   8.52E+00   0.00E+00
   3.75E+00   7.37E+01   8.21E+01   4.90E+00   4.36E+01   8.56E+00   0.00E+00
   4.22E+00   7.63E+01   8.41E+01   6.60E+00   4.41E+01   9.34E+00   0.00E+00
   4.69E+00   7.90E+01   8.34E+01   6.20E+00   4.43E+01   1.22E+01   0.00E+00
   5.16E+00   8.02E+01   8.15E+01   2.70E+00   4.33E+01   1.32E+01   0.00E+00
   5.63E+00   8.22E+01   8.08E+01   4.00E+00   4.35E+01   1.38E+01   0.00E+00
   6.10E+00   8.42E+01   8.28E+01   1.24E+01   4.34E+01   1.57E+01   0.00E+00
   6.57E+00   8.65E+01   8.82E+01   1.17E+01   4.23E+01   2.05E+01   0.00E+00
   7.04E+00   9.03E+01   8.85E+01   8.50E+00   4.27E+01   2.46E+01   0.00E+00
   7.50E+00   9.27E+01   8.84E+01   8.90E+00   4.22E+01   2.75E+01   0.00E+00
   7.97E+00   9.39E+01   8.82E+01   1.08E+01   4.13E+01   2.87E+01   0.00E+00
   8.44E+00   9.32E+01   8.95E+01   3.10E+00   3.91E+01   2.83E+01   0.00E+00
   8.91E+00   9.19E+01   8.97E+01   9.50E+00   3.66E+01   2.74E+01   0.00E+00
   9.38E+00   9.12E+01   9.37E+01   7.30E+00   3.49E+01   2.69E+01   0.00E+00
   9.85E+00   9.11E+01   9.70E+01   5.70E+00   3.36E+01   2.67E+01   0.00E+00
   1.03E+01   9.04E+01   9.62E+01   1.50E+00   3.25E+01   2.56E+01   0.00E+00
   1.08E+01   8.97E+01   9.48E+01   2.10E+00   3.15E+01   2.45E+01   0.00E+00
   1.13E+01   8.91E+01   9.25E+01   1.39E+01   3.06E+01   2.34E+01   0.00E+00
   1.17E+01   8.85E+01   9.28E+01   1.06E+01   2.98E+01   2.24E+01   0.00E+00
   1.22E+01   8.85E+01   9.35E+01   1.21E+01   2.91E+01   2.21E+01   0.00E+00
