   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   6.42E+01   5.92E+01   3.50E+00   4.98E+01   0.00E+00   0.00E+00
   2.25E+00   7.34E+01   7.12E+01   4.00E+00   5.44E+01   0.00E+00   0.00E+00
   3.01E+00   8.14E+01   8.45E+01   4.40E+00   5.79E+01   5.94E+00   0.00E+00
   3.76E+00   8.91E+01   9.35E+01   4.50E+00   6.12E+01   1.36E+01   0.00E+00
   4.51E+00   9.29E+01   9.75E+01   3.50E+00   6.07E+01   1.66E+01   0.00E+00
   5.26E+00   9.82E+01   1.00E+02   3.50E+00   6.25E+01   1.94E+01   0.00E+00
   6.01E+00   1.02E+02   1.01E+02   4.00E+00   6.21E+01   2.30E+01   0.00E+00
   6.76E+00   1.05E+02   1.03E+02   3.50E+00   6.12E+01   2.56E+01   0.00E+00
   7.51E+00   1.08E+02   1.05E+02   4.00E+00   6.11E+01   2.70E+01   0.00E+00
   8.27E+00   1.10E+02   1.10E+02   4.90E+00   5.98E+01   3.04E+01   0.00E+00
   9.02E+00   1.13E+02   1.11E+02   6.00E+00   5.88E+01   3.42E+01   0.00E+00
