   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   6.54E+01   5.47E+01   8.30E+00   5.12E+01   0.00E+00   0.00E+00
   3.01E+00   8.00E+01   8.54E+01   7.00E+00   5.63E+01   4.86E+00   0.00E+00
   4.51E+00   9.04E+01   9.38E+01   6.20E+00   5.76E+01   1.66E+01   0.00E+00
   6.01E+00   9.73E+01   9.87E+01   5.20E+00   5.59E+01   2.41E+01   0.00E+00
   7.51E+00   1.03E+02   1.03E+02   5.20E+00   5.47E+01   2.77E+01   0.00E+00
   9.02E+00   1.07E+02   1.07E+02   5.20E+00   5.14E+01   3.20E+01   0.00E+00
   1.05E+01   1.10E+02   1.09E+02   5.20E+00   4.66E+01   3.74E+01   0.00E+00
   1.13E+01   1.11E+02   1.10E+02   7.40E+00   4.38E+01   3.90E+01   0.00E+00
   1.20E+01   1.11E+02   1.08E+02   7.40E+00   4.16E+01   3.95E+01   0.00E+00
   1.35E+01   1.11E+02   1.08E+02   7.40E+00   3.83E+01   3.79E+01   0.00E+00
   1.43E+01   1.11E+02   1.08E+02   7.40E+00   3.71E+01   3.71E+01   0.00E+00
