   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   1.02E+02   4.78E+01   8.20E+00   1.00E+02   2.84E+00   0.00E+00
   1.50E+00   1.36E+02   9.89E+01   8.20E+00   1.33E+02   1.12E+01   0.00E+00
   2.25E+00   1.55E+02   1.46E+02   7.70E+00   1.50E+02   1.32E+01   0.00E+00
   3.01E+00   1.67E+02   1.64E+02   6.40E+00   1.61E+02   1.26E+01   0.00E+00
   3.76E+00   1.76E+02   1.74E+02   5.95E+00   1.68E+02   1.43E+01   0.00E+00
   4.51E+00   1.80E+02   1.75E+02   6.00E+00   1.68E+02   1.87E+01   0.00E+00
   5.26E+00   1.83E+02   1.84E+02   6.40E+00   1.69E+02   2.20E+01   0.00E+00
   6.01E+00   1.83E+02   1.85E+02   6.40E+00   1.66E+02   1.99E+01   0.00E+00
   6.76E+00   1.85E+02   1.88E+02   6.65E+00   1.64E+02   2.27E+01   0.00E+00
   7.51E+00   1.84E+02   1.90E+02   7.35E+00   1.59E+02   2.59E+01   0.00E+00
   8.27E+00   1.85E+02   1.91E+02   6.40E+00   1.57E+02   2.85E+01   0.00E+00
   9.02E+00   1.82E+02   1.91E+02   5.55E+00   1.50E+02   3.05E+01   0.00E+00
   9.77E+00   1.82E+02   1.89E+02   5.95E+00   1.46E+02   3.15E+01   0.00E+00
   1.05E+01   1.81E+02   1.86E+02   6.85E+00   1.42E+02   3.05E+01   0.00E+00
   1.13E+01   1.79E+02   1.83E+02   6.40E+00   1.37E+02   3.01E+01   0.00E+00
   1.20E+01   1.78E+02   1.79E+02   6.85E+00   1.32E+02   2.91E+01   0.00E+00
   1.28E+01   1.77E+02   1.77E+02   7.25E+00   1.28E+02   2.83E+01   0.00E+00
   1.36E+01   1.76E+02   1.77E+02   8.55E+00   1.24E+02   2.91E+01   0.00E+00
   1.44E+01   1.75E+02   1.78E+02   1.20E+01   1.20E+02   3.10E+01   0.00E+00
