   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   1.89E+02   1.45E+02   6.80E+00   1.87E+02   1.66E+01   0.00E+00
   3.01E+00   2.00E+02   1.74E+02   6.80E+00   1.96E+02   1.64E+01   0.00E+00
   4.51E+00   1.89E+02   1.94E+02   6.40E+00   1.78E+02   2.55E+01   0.00E+00
   6.01E+00   1.92E+02   1.90E+02   5.50E+00   1.73E+02   3.95E+01   0.00E+00
   7.59E+00   1.89E+02   1.86E+02   5.80E+00   1.62E+02   4.48E+01   0.00E+00
   9.39E+00   1.83E+02   1.88E+02   7.00E+00   1.47E+02   4.22E+01   0.00E+00
   1.13E+01   1.78E+02   1.87E+02   8.50E+00   1.32E+02   4.02E+01   0.00E+00
   1.32E+01   1.76E+02   1.79E+02   1.26E+01   1.22E+02   4.00E+01   0.00E+00
   1.49E+01   1.75E+02   1.76E+02   1.17E+01   1.15E+02   4.01E+01   0.00E+00
   1.64E+01   1.75E+02   1.67E+02   1.35E+01   1.10E+02   4.13E+01   0.00E+00
   1.75E+01   1.75E+02   1.48E+02   1.85E+01   1.07E+02   4.19E+01   0.00E+00
