   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   2.23E+01   2.09E+01   4.70E+00   8.58E+00   3.76E+00   0.00E+00
   1.50E+00   3.79E+01   3.64E+01   3.90E+00   1.71E+01   8.25E+00   0.00E+00
   2.25E+00   4.61E+01   4.34E+01   3.90E+00   1.99E+01   1.12E+01   0.00E+00
   3.01E+00   5.30E+01   5.12E+01   4.70E+00   2.30E+01   1.25E+01   0.00E+00
   3.76E+00   5.77E+01   5.97E+01   3.90E+00   2.45E+01   1.33E+01   0.00E+00
   4.51E+00   6.32E+01   6.45E+01   4.40E+00   2.54E+01   1.68E+01   0.00E+00
   5.26E+00   6.75E+01   6.79E+01   3.90E+00   2.55E+01   1.97E+01   0.00E+00
   5.64E+00   6.91E+01   7.28E+01   7.30E+00   2.52E+01   2.08E+01   0.00E+00
   6.01E+00   7.08E+01   7.03E+01   6.10E+00   2.51E+01   2.18E+01   0.00E+00
   6.76E+00   7.37E+01   7.37E+01   6.10E+00   2.44E+01   2.35E+01   0.00E+00
   7.51E+00   7.63E+01   7.76E+01   6.10E+00   2.43E+01   2.45E+01   0.00E+00
   7.89E+00   7.70E+01   7.91E+01   7.30E+00   2.41E+01   2.45E+01   0.00E+00
