   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.29E+00   5.37E+01   4.70E+01   7.60E+00   3.86E+01   2.09E+00   0.00E+00
   2.15E+00   6.10E+01   5.95E+01   4.50E+00   3.93E+01   6.18E+00   0.00E+00
   3.00E+00   7.28E+01   7.16E+01   3.70E+00   4.64E+01   1.10E+01   0.00E+00
   3.86E+00   7.99E+01   7.76E+01   3.10E+00   4.88E+01   1.50E+01   0.00E+00
   4.72E+00   8.58E+01   8.34E+01   3.60E+00   5.06E+01   1.73E+01   0.00E+00
   5.58E+00   9.03E+01   8.97E+01   3.80E+00   5.11E+01   1.96E+01   0.00E+00
   6.44E+00   9.27E+01   9.38E+01   2.40E+00   4.92E+01   2.20E+01   0.00E+00
   7.29E+00   9.38E+01   9.90E+01   3.00E+00   4.64E+01   2.40E+01   0.00E+00
   8.15E+00   9.60E+01   1.03E+02   2.50E+00   4.40E+01   2.75E+01   0.00E+00
   9.01E+00   9.73E+01   1.00E+02   2.30E+00   4.17E+01   2.90E+01   0.00E+00
   9.87E+00   9.83E+01   9.83E+01   2.00E+00   3.99E+01   2.97E+01   0.00E+00
   1.07E+01   9.91E+01   9.84E+01   1.70E+00   3.83E+01   2.98E+01   0.00E+00
   1.16E+01   1.00E+02   9.45E+01   1.80E+00   3.69E+01   3.08E+01   0.00E+00
   1.24E+01   1.02E+02   9.49E+01   2.40E+00   3.52E+01   3.19E+01   0.00E+00
   1.33E+01   1.02E+02   9.53E+01   1.60E+00   3.33E+01   3.28E+01   0.00E+00
   1.42E+01   1.03E+02   9.69E+01   1.80E+00   3.18E+01   3.34E+01   0.00E+00
   1.50E+01   1.04E+02   9.72E+01   1.30E+00   3.07E+01   3.36E+01   0.00E+00
   1.59E+01   1.05E+02   1.00E+02   1.80E+00   2.96E+01   3.37E+01   0.00E+00
   1.67E+01   1.05E+02   1.04E+02   2.70E+00   2.87E+01   3.34E+01   0.00E+00
   1.76E+01   1.06E+02   1.04E+02   3.20E+00   2.79E+01   3.41E+01   0.00E+00
   1.84E+01   1.06E+02   1.05E+02   3.40E+00   2.72E+01   3.29E+01   0.00E+00
   1.93E+01   1.06E+02   1.09E+02   3.90E+00   2.65E+01   3.22E+01   0.00E+00
   2.02E+01   1.05E+02   1.10E+02   3.80E+00   2.59E+01   3.04E+01   0.00E+00
   2.10E+01   1.05E+02   1.07E+02   3.80E+00   2.53E+01   2.99E+01   0.00E+00
   2.19E+01   1.05E+02   1.06E+02   3.80E+00   2.47E+01   2.95E+01   0.00E+00
   2.27E+01   1.04E+02   1.06E+02   4.00E+00   2.42E+01   2.84E+01   0.00E+00
   2.36E+01   1.04E+02   1.08E+02   3.40E+00   2.37E+01   2.75E+01   0.00E+00
   2.45E+01   1.03E+02   1.09E+02   3.20E+00   2.33E+01   2.61E+01   0.00E+00
   2.53E+01   1.04E+02   1.10E+02   3.30E+00   2.29E+01   2.67E+01   0.00E+00
   2.62E+01   1.04E+02   1.10E+02   2.70E+00   2.25E+01   2.63E+01   0.00E+00
   2.70E+01   1.04E+02   1.10E+02   2.40E+00   2.21E+01   2.57E+01   0.00E+00
   2.79E+01   1.06E+02   1.13E+02   2.50E+00   2.17E+01   2.73E+01   0.00E+00
   2.87E+01   1.11E+02   1.14E+02   2.20E+00   2.14E+01   3.13E+01   0.00E+00
   2.96E+01   1.13E+02   1.12E+02   1.70E+00   2.11E+01   3.23E+01   0.00E+00
   3.05E+01   1.17E+02   1.13E+02   1.80E+00   2.08E+01   3.52E+01   0.00E+00
   3.13E+01   1.22E+02   1.15E+02   1.60E+00   2.05E+01   3.81E+01   0.00E+00
