   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   2.18E-01   1.05E+01   5.00E+00   7.50E+00   3.48E+00   1.73E+00   0.00E+00
   4.36E-01   1.89E+01   8.90E+00   9.90E+00   7.52E+00   4.58E+00   0.00E+00
   6.54E-01   2.51E+01   1.45E+01   6.30E+00   1.09E+01   6.28E+00   0.00E+00
   8.73E-01   3.03E+01   2.64E+01   5.60E+00   1.38E+01   7.85E+00   0.00E+00
   1.09E+00   3.43E+01   2.89E+01   5.70E+00   1.57E+01   9.13E+00   0.00E+00
   1.31E+00   3.70E+01   2.78E+01   2.30E+00   1.67E+01   9.57E+00   0.00E+00
   1.53E+00   3.98E+01   3.18E+01   3.20E+00   1.74E+01   1.12E+01   0.00E+00
   1.75E+00   4.31E+01   4.28E+01   2.10E+00   1.84E+01   1.33E+01   0.00E+00
   1.96E+00   4.68E+01   4.82E+01   1.60E+00   1.88E+01   1.66E+01   0.00E+00
   2.18E+00   4.94E+01   4.84E+01   1.30E+00   1.93E+01   1.82E+01   0.00E+00
   2.40E+00   5.15E+01   5.06E+01   1.00E+00   1.98E+01   1.92E+01   0.00E+00
   2.62E+00   5.35E+01   5.35E+01   1.00E+00   1.95E+01   2.07E+01   0.00E+00
   2.84E+00   5.50E+01   5.72E+01   1.30E+00   1.94E+01   2.15E+01   0.00E+00
   3.05E+00   5.70E+01   5.91E+01   1.50E+00   1.96E+01   2.27E+01   0.00E+00
   3.27E+00   5.85E+01   5.98E+01   1.60E+00   1.96E+01   2.33E+01   0.00E+00
   3.49E+00   5.95E+01   6.03E+01   1.60E+00   1.95E+01   2.36E+01   0.00E+00
   3.71E+00   6.08E+01   6.07E+01   1.60E+00   1.92E+01   2.44E+01   0.00E+00
   3.93E+00   6.26E+01   6.21E+01   1.90E+00   1.91E+01   2.56E+01   0.00E+00
   4.15E+00   6.29E+01   6.36E+01   1.60E+00   1.87E+01   2.53E+01   0.00E+00
   4.36E+00   6.33E+01   6.20E+01   1.60E+00   1.86E+01   2.48E+01   0.00E+00
   4.58E+00   6.28E+01   6.05E+01   1.40E+00   1.85E+01   2.35E+01   0.00E+00
   4.80E+00   6.30E+01   6.03E+01   1.50E+00   1.88E+01   2.27E+01   0.00E+00
   5.02E+00   6.57E+01   6.38E+01   1.30E+00   1.93E+01   2.46E+01   0.00E+00
   5.24E+00   6.72E+01   6.61E+01   1.30E+00   1.81E+01   2.65E+01   0.00E+00
   5.45E+00   6.87E+01   6.77E+01   1.20E+00   1.70E+01   2.80E+01   0.00E+00
   5.67E+00   7.02E+01   7.04E+01   1.10E+00   1.63E+01   2.94E+01   0.00E+00
   5.89E+00   7.12E+01   7.30E+01   1.20E+00   1.57E+01   3.00E+01   0.00E+00
   6.11E+00   7.16E+01   7.42E+01   1.20E+00   1.52E+01   3.01E+01   0.00E+00
   6.33E+00   7.17E+01   7.51E+01   1.30E+00   1.48E+01   2.97E+01   0.00E+00
   6.54E+00   7.20E+01   7.52E+01   1.20E+00   1.44E+01   2.96E+01   0.00E+00
   6.76E+00   7.20E+01   7.63E+01   1.30E+00   1.41E+01   2.92E+01   0.00E+00
   6.98E+00   7.21E+01   7.72E+01   1.40E+00   1.38E+01   2.89E+01   0.00E+00
   7.42E+00   7.25E+01   7.69E+01   1.50E+00   1.33E+01   2.85E+01   0.00E+00
   7.85E+00   7.29E+01   7.75E+01   2.00E+00   1.28E+01   2.82E+01   0.00E+00
