   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   1.50E+00   9.24E+01   8.75E+01   9.40E+00   8.39E+01   1.10E+01   0.00E+00
   3.01E+00   1.18E+02   1.06E+02   7.10E+00   1.02E+02   2.05E+01   0.00E+00
   4.51E+00   1.18E+02   1.16E+02   5.30E+00   9.01E+01   2.69E+01   0.00E+00
   6.01E+00   1.19E+02   1.25E+02   5.70E+00   8.04E+01   3.23E+01   0.00E+00
   7.51E+00   1.20E+02   1.26E+02   4.40E+00   7.33E+01   3.43E+01   0.00E+00
   9.02E+00   1.20E+02   1.23E+02   4.40E+00   6.73E+01   3.41E+01   0.00E+00
   1.06E+01   1.18E+02   1.18E+02   4.60E+00   6.07E+01   3.22E+01   0.00E+00
   1.25E+01   1.18E+02   1.15E+02   6.40E+00   5.46E+01   3.17E+01   0.00E+00
   1.47E+01   1.19E+02   1.22E+02   1.52E+01   4.96E+01   3.24E+01   0.00E+00
   2.74E+01   1.23E+02   1.21E+02   1.02E+01   3.57E+01   3.13E+01   0.00E+00
   2.98E+01   1.23E+02   1.18E+02   1.04E+01   3.42E+01   3.02E+01   0.00E+00
   3.20E+01   1.24E+02   1.13E+02   1.05E+01   3.30E+01   2.93E+01   0.00E+00
