   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   1.24E+00   2.10E+02   2.16E+02   1.00E+01   2.86E+01   0.00E+00   2.08E+02
   2.47E+00   2.34E+02   2.15E+02   7.00E+00   2.86E+01   0.00E+00   2.33E+02
   3.71E+00   2.26E+02   2.15E+02   5.00E+00   2.55E+01   0.00E+00   2.21E+02
   4.95E+00   2.18E+02   2.14E+02   4.00E+00   6.33E+01   0.00E+00   2.01E+02
   6.18E+00   2.16E+02   2.15E+02   4.00E+00   9.13E+01   0.00E+00   1.83E+02
   7.42E+00   2.12E+02   2.21E+02   3.00E+00   1.00E+02   0.00E+00   1.68E+02
   9.89E+00   2.22E+02   2.33E+02   3.00E+00   1.36E+02   1.04E+01   1.46E+02
   1.24E+01   2.24E+02   2.37E+02   3.00E+00   1.39E+02   2.54E+01   1.30E+02
   1.48E+01   2.26E+02   2.42E+02   3.00E+00   1.38E+02   3.77E+01   1.19E+02
   1.73E+01   2.37E+02   2.41E+02   3.00E+00   1.50E+02   4.74E+01   1.10E+02
   1.98E+01   2.38E+02   2.40E+02   3.00E+00   1.45E+02   5.35E+01   1.03E+02
   2.23E+01   2.32E+02   2.34E+02   3.00E+00   1.32E+02   5.27E+01   9.72E+01
   2.47E+01   2.28E+02   2.26E+02   3.00E+00   1.21E+02   5.11E+01   9.22E+01
   2.72E+01   2.26E+02   2.13E+02   3.00E+00   1.14E+02   4.89E+01   8.79E+01
   2.97E+01   2.29E+02   2.07E+02   3.00E+00   1.16E+02   4.69E+01   8.42E+01
   3.21E+01   2.22E+02   2.08E+02   4.00E+00   1.02E+02   4.46E+01   8.09E+01
   3.46E+01   2.20E+02   2.09E+02   4.00E+00   9.68E+01   4.18E+01   7.79E+01
   3.71E+01   2.19E+02   2.07E+02   4.00E+00   9.25E+01   3.94E+01   7.53E+01
   3.96E+01   2.18E+02   2.13E+02   6.00E+00   8.89E+01   3.79E+01   7.29E+01
