   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   7.37E-01   4.33E+01   2.51E+01   2.40E+00   3.25E+01   2.66E+00   0.00E+00
   1.47E+00   5.06E+01   4.07E+01   1.40E+00   3.25E+01   5.37E+00   0.00E+00
   2.21E+00   5.65E+01   5.32E+01   1.60E+00   3.36E+01   5.86E+00   0.00E+00
   2.95E+00   6.16E+01   6.43E+01   9.00E-01   3.39E+01   9.80E+00   0.00E+00
   3.68E+00   6.57E+01   7.31E+01   2.40E+00   3.40E+01   1.21E+01   0.00E+00
   4.42E+00   7.12E+01   7.62E+01   4.40E+00   3.54E+01   1.58E+01   0.00E+00
   5.16E+00   7.70E+01   7.84E+01   3.80E+00   3.65E+01   2.05E+01   0.00E+00
   5.90E+00   8.02E+01   8.31E+01   3.10E+00   3.53E+01   2.39E+01   0.00E+00
   6.63E+00   8.29E+01   8.80E+01   3.00E+00   3.34E+01   2.70E+01   0.00E+00
   7.37E+00   8.29E+01   8.99E+01   2.40E+00   2.95E+01   2.85E+01   0.00E+00
   8.11E+00   8.46E+01   9.06E+01   2.80E+00   2.73E+01   3.02E+01   0.00E+00
   8.84E+00   8.69E+01   9.16E+01   2.60E+00   2.57E+01   3.22E+01   0.00E+00
   9.58E+00   8.87E+01   9.23E+01   1.40E+00   2.44E+01   3.33E+01   0.00E+00
   1.03E+01   8.99E+01   9.09E+01   1.00E+00   2.33E+01   3.36E+01   0.00E+00
   1.11E+01   9.12E+01   8.96E+01   2.70E+00   2.24E+01   3.40E+01   0.00E+00
   1.18E+01   9.19E+01   8.94E+01   2.70E+00   2.16E+01   3.37E+01   0.00E+00
