   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   3.58E+01   3.13E+01   6.30E+00   2.33E+01   0.00E+00   0.00E+00
   1.50E+00   4.96E+01   5.48E+01   5.80E+00   3.14E+01   3.12E+00   0.00E+00
   2.25E+00   5.23E+01   6.11E+01   4.10E+00   2.83E+01   7.02E+00   0.00E+00
   3.01E+00   5.70E+01   6.39E+01   4.10E+00   2.90E+01   8.47E+00   0.00E+00
   3.76E+00   6.56E+01   6.72E+01   4.10E+00   3.18E+01   1.62E+01   0.00E+00
   4.51E+00   6.99E+01   7.04E+01   3.60E+00   3.17E+01   1.92E+01   0.00E+00
   5.26E+00   7.02E+01   7.37E+01   3.60E+00   3.00E+01   1.74E+01   0.00E+00
   6.01E+00   7.29E+01   7.80E+01   4.10E+00   2.79E+01   2.14E+01   0.00E+00
   6.76E+00   7.92E+01   8.08E+01   4.10E+00   2.87E+01   2.64E+01   0.00E+00
   7.51E+00   8.31E+01   8.05E+01   3.60E+00   2.79E+01   2.97E+01   0.00E+00
   8.27E+00   8.77E+01   8.13E+01   3.60E+00   2.82E+01   3.29E+01   0.00E+00
   9.02E+00   9.17E+01   8.21E+01   4.60E+00   2.79E+01   3.57E+01   0.00E+00
   9.84E+00   9.54E+01   8.28E+01   4.60E+00   2.66E+01   3.87E+01   0.00E+00
   1.07E+01   9.64E+01   8.49E+01   5.50E+00   2.43E+01   3.92E+01   0.00E+00
   1.15E+01   9.46E+01   8.43E+01   5.50E+00   2.27E+01   3.64E+01   0.00E+00
   1.23E+01   9.58E+01   8.32E+01   7.00E+00   2.16E+01   3.67E+01   0.00E+00
   1.32E+01   9.78E+01   8.01E+01   1.08E+01   2.06E+01   3.76E+01   0.00E+00
