   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   2.88E+00   2.96E+02   3.02E+02   2.50E+01   3.71E+01   0.00E+00   2.92E+02
   8.64E+00   2.94E+02   2.97E+02   1.00E+01   5.23E+01   1.42E+01   2.79E+02
   1.44E+01   2.63E+02   2.73E+02   1.30E+01   6.13E+01   2.59E+01   2.25E+02
   2.02E+01   2.51E+02   2.73E+02   9.00E+00   5.93E+01   3.19E+01   1.90E+02
   2.59E+01   2.48E+02   2.71E+02   1.00E+01   5.73E+01   4.33E+01   1.68E+02
   3.17E+01   2.47E+02   2.56E+02   1.80E+01   5.46E+01   4.65E+01   1.52E+02
   3.74E+01   2.46E+02   2.45E+02   6.00E+00   5.21E+01   4.40E+01   1.40E+02
   4.32E+01   2.46E+02   2.40E+02   7.00E+00   4.94E+01   4.55E+01   1.30E+02
   4.90E+01   2.48E+02   2.43E+02   8.00E+00   5.11E+01   4.81E+01   1.22E+02
   5.47E+01   2.48E+02   2.45E+02   4.00E+00   4.34E+01   5.06E+01   1.16E+02
   6.05E+01   2.47E+02   2.44E+02   4.00E+00   4.02E+01   4.85E+01   1.10E+02
   6.62E+01   2.46E+02   2.37E+02   5.00E+00   3.78E+01   4.52E+01   1.05E+02
   7.20E+01   2.47E+02   2.27E+02   5.00E+00   3.59E+01   4.67E+01   1.01E+02
