   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   7.51E-01   3.94E+01   3.93E+01   6.60E+00   2.82E+01   0.00E+00   0.00E+00
   1.50E+00   6.35E+01   5.46E+01   5.60E+00   4.74E+01   1.07E+01   0.00E+00
   2.25E+00   8.10E+01   6.55E+01   6.70E+00   6.25E+01   1.24E+01   0.00E+00
   3.01E+00   9.40E+01   8.39E+01   5.20E+00   7.27E+01   1.46E+01   0.00E+00
   3.76E+00   1.02E+02   9.43E+01   6.30E+00   7.67E+01   1.83E+01   0.00E+00
   4.51E+00   1.06E+02   1.04E+02   5.70E+00   7.66E+01   2.07E+01   0.00E+00
   5.26E+00   1.12E+02   1.15E+02   5.10E+00   7.90E+01   2.40E+01   0.00E+00
   6.01E+00   1.17E+02   1.27E+02   5.10E+00   8.03E+01   2.75E+01   0.00E+00
   6.76E+00   1.20E+02   1.29E+02   5.10E+00   7.91E+01   3.08E+01   0.00E+00
   7.51E+00   1.22E+02   1.27E+02   5.10E+00   7.73E+01   3.39E+01   0.00E+00
   8.27E+00   1.22E+02   1.24E+02   5.10E+00   7.42E+01   3.30E+01   0.00E+00
   9.02E+00   1.22E+02   1.22E+02   3.90E+00   7.12E+01   3.13E+01   0.00E+00
