   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   4.73E+00   2.03E+02   1.98E+02   1.00E+01   1.95E+02   0.00E+00   0.00E+00
   5.31E+00   2.00E+02   1.95E+02   5.00E+00   1.89E+02   9.41E+00   0.00E+00
   5.96E+00   1.99E+02   1.94E+02   4.00E+00   1.85E+02   1.77E+01   0.00E+00
   6.62E+00   1.95E+02   1.95E+02   3.00E+00   1.78E+02   2.23E+01   0.00E+00
   7.20E+00   1.92E+02   1.95E+02   3.00E+00   1.72E+02   2.47E+01   0.00E+00
   7.85E+00   1.90E+02   1.95E+02   3.00E+00   1.65E+02   2.66E+01   0.00E+00
   8.51E+00   1.88E+02   1.92E+02   7.00E+00   1.60E+02   2.76E+01   0.00E+00
   9.09E+00   1.86E+02   1.88E+02   8.00E+00   1.55E+02   2.75E+01   0.00E+00
   9.74E+00   1.84E+02   1.86E+02   7.00E+00   1.50E+02   2.73E+01   0.00E+00
   1.04E+01   1.82E+02   1.86E+02   6.00E+00   1.45E+02   2.77E+01   0.00E+00
   1.10E+01   1.81E+02   1.86E+02   5.00E+00   1.41E+02   2.83E+01   0.00E+00
   1.16E+01   1.80E+02   1.85E+02   6.00E+00   1.36E+02   2.93E+01   0.00E+00
   1.22E+01   1.78E+02   1.80E+02   1.00E+01   1.32E+02   3.01E+01   0.00E+00
   1.29E+01   1.78E+02   1.63E+02   8.00E+00   1.28E+02   3.06E+01   0.00E+00
   1.35E+01   1.77E+02   1.62E+02   6.00E+00   1.25E+02   3.01E+01   0.00E+00
   1.41E+01   1.76E+02   1.64E+02   5.00E+00   1.22E+02   2.95E+01   0.00E+00
   1.48E+01   1.75E+02   1.66E+02   5.00E+00   1.19E+02   2.86E+01   0.00E+00
   1.54E+01   1.74E+02   1.66E+02   5.00E+00   1.16E+02   2.75E+01   0.00E+00
   1.60E+01   1.73E+02   1.66E+02   5.00E+00   1.14E+02   2.65E+01   0.00E+00
   1.67E+01   1.73E+02   1.66E+02   5.00E+00   1.11E+02   2.59E+01   0.00E+00
   1.73E+01   1.72E+02   1.68E+02   5.00E+00   1.09E+02   2.53E+01   0.00E+00
   1.79E+01   1.72E+02   1.72E+02   5.00E+00   1.07E+02   2.45E+01   0.00E+00
   1.85E+01   1.71E+02   1.73E+02   5.00E+00   1.05E+02   2.41E+01   0.00E+00
   1.92E+01   1.71E+02   1.71E+02   5.00E+00   1.03E+02   2.42E+01   0.00E+00
   1.98E+01   1.71E+02   1.70E+02   5.00E+00   1.01E+02   2.45E+01   0.00E+00
   2.04E+01   1.71E+02   1.72E+02   5.00E+00   9.98E+01   2.52E+01   0.00E+00
   2.10E+01   1.71E+02   1.73E+02   5.00E+00   9.81E+01   2.68E+01   0.00E+00
   2.17E+01   1.72E+02   1.76E+02   5.00E+00   9.72E+01   2.80E+01   0.00E+00
   2.23E+01   1.72E+02   1.78E+02   5.00E+00   9.58E+01   2.78E+01   0.00E+00
   2.29E+01   1.72E+02   1.80E+02   6.00E+00   9.46E+01   2.75E+01   0.00E+00
   2.36E+01   1.72E+02   1.80E+02   8.00E+00   9.38E+01   2.70E+01   0.00E+00
   2.42E+01   1.72E+02   1.80E+02   5.00E+00   9.20E+01   2.64E+01   0.00E+00
   2.48E+01   1.71E+02   1.80E+02   5.00E+00   9.10E+01   2.60E+01   0.00E+00
   2.55E+01   1.72E+02   1.78E+02   5.00E+00   9.07E+01   2.56E+01   0.00E+00
   2.61E+01   1.72E+02   1.74E+02   5.00E+00   8.95E+01   2.56E+01   0.00E+00
   2.67E+01   1.72E+02   1.70E+02   1.00E+01   8.90E+01   2.43E+01   0.00E+00
