   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   2.39E+00   3.63E+02   2.06E+02   7.50E+01   2.52E+01   0.00E+00   3.61E+02
   7.17E+00   3.09E+02   2.85E+02   8.00E+00   4.55E+01   0.00E+00   3.01E+02
   1.20E+01   2.66E+02   2.91E+02   7.00E+00   6.73E+01   0.00E+00   2.36E+02
   1.67E+01   2.52E+02   2.74E+02   5.00E+00   7.44E+01   0.00E+00   2.00E+02
   2.15E+01   2.46E+02   2.66E+02   4.00E+00   6.97E+01   2.29E+01   1.76E+02
   2.63E+01   2.44E+02   2.55E+02   2.00E+00   6.67E+01   3.47E+01   1.59E+02
   3.11E+01   2.44E+02   2.50E+02   2.00E+00   6.32E+01   4.13E+01   1.46E+02
   3.59E+01   2.43E+02   2.42E+02   2.00E+00   5.90E+01   4.46E+01   1.36E+02
   4.06E+01   2.45E+02   2.37E+02   2.00E+00   5.78E+01   4.86E+01   1.28E+02
   4.54E+01   2.45E+02   2.35E+02   2.00E+00   5.54E+01   4.98E+01   1.21E+02
   5.02E+01   2.44E+02   2.36E+02   2.00E+00   5.02E+01   4.76E+01   1.15E+02
   5.50E+01   2.44E+02   2.42E+02   2.00E+00   4.70E+01   4.96E+01   1.10E+02
   5.98E+01   2.45E+02   2.46E+02   2.00E+00   4.45E+01   4.99E+01   1.06E+02
   6.45E+01   2.44E+02   2.42E+02   4.00E+00   4.24E+01   4.73E+01   1.02E+02
   6.93E+01   2.43E+02   2.42E+02   5.00E+00   4.07E+01   4.38E+01   9.81E+01
