   #R         Vmod       Vobs       Err        Vdisk      Vgas       Vbulge
   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
   1.16E+00   1.92E+02   1.23E+02   6.20E+00   1.18E+01   2.57E+00   1.91E+02
   1.55E+00   2.15E+02   1.42E+02   6.20E+00   1.18E+01   3.42E+00   2.14E+02
   1.94E+00   2.28E+02   2.05E+02   6.20E+00   1.18E+01   4.26E+00   2.29E+02
   2.71E+00   2.41E+02   2.28E+02   6.20E+00   1.18E+01   5.93E+00   2.41E+02
   3.49E+00   2.43E+02   2.38E+02   6.20E+00   1.17E+01   7.58E+00   2.39E+02
   1.05E+01   2.06E+02   2.29E+02   4.20E+00   6.60E+01   2.31E+01   1.63E+02
   1.75E+01   2.05E+02   2.25E+02   6.90E+00   7.35E+01   3.73E+01   1.27E+02
   2.44E+01   2.10E+02   2.20E+02   4.00E+00   7.46E+01   4.70E+01   1.07E+02
   3.14E+01   2.19E+02   2.22E+02   2.40E+00   7.66E+01   5.90E+01   9.47E+01
   3.84E+01   2.26E+02   2.19E+02   4.10E+00   7.82E+01   6.15E+01   8.53E+01
   4.54E+01   2.21E+02   2.14E+02   4.70E+00   6.34E+01   5.82E+01   7.85E+01
   5.24E+01   2.21E+02   2.16E+02   2.60E+00   5.68E+01   5.87E+01   7.31E+01
   5.93E+01   2.28E+02   2.16E+02   8.80E+00   5.23E+01   6.66E+01   6.86E+01
