#Distance	DATA FILES _ TaM_oversampled (two data points in Gentile per point o algo)				#Radius	Vobs	Verr	Vgas	Vdisk	Vbul	These LUminosity are just placeholders	
#kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
39.735	281.555	291.98	43.024	136.229	65.7	0.1	0.1
40.069	281.555	291.98	43.637	135.616	65.7	0.1	0.1
40.486	279.716	290.753	43.637	134.389	65.1	0.1	0.1
40.82	279.102	289.527	44.25	133.776	64.486	0.1	0.1
41.237	279.102	289.527	44.25	133.163	63.872	0.1	0.1
41.571	278.489	290.14	44.25	132.55	63.872	0.1	0.1
41.988	279.102	290.14	43.637	132.55	63.872	0.1	0.1
42.405	276.65	288.3	43.637	131.323	63.872	0.1	0.1
42.739	276.037	287.687	44.25	130.71	62.646	0.1	0.1
43.156	276.037	287.687	44.25	130.71	62.646	0.1	0.1
43.49	275.423	288.3	44.25	129.484	62.646	0.1	0.1
43.824	273.584	285.848	44.25	129.484	62.033	0.1	0.1
44.241	272.971	285.234	44.25	128.257	61.42	0.1	0.1
44.658	274.197	286.461	44.25	127.644	61.42	0.1	0.1
44.992	273.584	285.848	43.637	127.644	61.42	0.1	0.1
45.409	273.584	285.234	43.637	127.031	60.806	0.1	0.1
45.743	273.584	284.008	43.637	125.805	60.806	0.1	0.1
46.16	272.971	283.395	44.25	125.191	60.806	0.1	0.1
46.578	271.744	282.782	44.863	124.578	60.806	0.1	0.1
46.911	271.744	282.782	44.863	123.965	60.193	0.1	0.1
47.329	271.131	282.782	44.863	123.352	59.58	0.1	0.1
47.663	271.131	282.168	45.477	123.352	58.967	0.1	0.1
48.08	271.131	282.782	45.477	122.126	58.967	0.1	0.1
48.414	272.357	283.395	46.09	122.126	58.967	0.1	0.1
48.831	272.971	284.621	46.703	121.512	58.354	0.1	0.1
49.165	274.197	286.461	47.316	120.899	58.354	0.1	0.1
49.582	275.423	288.3	47.316	120.899	58.354	0.1	0.1
49.916	277.876	290.753	47.316	120.286	57.74	0.1	0.1
50.333	280.942	293.819	46.703	119.673	57.74	0.1	0.1
50.667	279.716	292.593	47.316	119.673	57.74	0.1	0.1
51.084	279.716	291.366	46.703	118.446	57.74	0.1	0.1
51.418	280.329	290.753	46.09	117.833	57.127	0.1	0.1
51.835	282.782	293.819	47.316	117.833	57.127	0.1	0.1
52.252	282.782	293.819	47.316	117.22	56.514	0.1	0.1
52.586	284.008	295.045	47.316	116.607	56.514	0.1	0.1
52.92	282.782	303.017	46.703	116.607	56.514	0.1	0.1
53.337	284.621	295.045	47.316	115.994	56.514	0.1	0.1
53.754	285.848	299.951	46.916	115.994	56.514	0.1	0.1
54.088	284.008	294.432	46.703	115.38	55.901	0.1	0.1
54.506	283.395	292.593	46.09	114.767	55.288	0.1	0.1
54.923	282.168	291.366	46.09	114.154	55.288	0.1	0.1
55.257	279.102	289.527	46.09	114.154	55.288	0.1	0.1
55.674	277.263	288.3	46.09	113.541	55.288	0.1	0.1
56.008	277.876	290.753	45.477	112.928	55.288	0.1	0.1
56.341	284.008	295.045	46.09	112.928	54.674	0.1	0.1
56.759	287.687	299.338	45.477	111.701	54.674	0.1	0.1
57.176	288.914	299.951	45.477	111.701	54.674	0.1	0.1
