#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.14	5.77	2.59	1.31	1.00	0.00	0.00	0.00
0.29	10.98	2.43	2.48	1.77	0.00	0.00	0.00
0.43	14.65	2.15	3.85	2.32	0.00	0.00	0.00
0.57	16.02	3.09	4.89	2.81	0.00	0.00	0.00
0.72	19.01	2.62	4.66	3.31	0.00	0.00	0.00
0.86	21.58	2.61	5.47	3.52	0.00	0.00	0.00
1.00	24.06	2.34	6.20	3.57	0.00	0.00	0.00
1.15	24.68	2.97	7.52	3.54	0.00	0.00	0.00
1.29	26.55	5.39	7.89	3.49	0.00	0.00	0.00
1.44	29.44	6.27	7.97	3.47	0.00	0.00	0.00
1.58	31.67	6.34	9.76	3.49	0.00	0.00	0.00
1.72	33.67	7.09	10.33	3.47	0.00	0.00	0.00
1.87	34.35	7.31	9.99	3.41	0.00	0.00	0.00
2.01	35.06	6.57	10.20	3.32	0.00	0.00	0.00
2.15	36.08	6.35	10.71	3.11	0.00	0.00	0.00
2.30	36.16	5.53	11.03	2.96	0.00	0.00	0.00
2.44	37.32	5.24	11.85	2.86	0.00	0.00	0.00
2.58	38.39	4.96	11.84	2.78	0.00	0.00	0.00
2.73	39.80	4.85	12.43	2.79	0.00	0.00	0.00
2.87	40.48	4.81	12.85	2.65	0.00	0.00	0.00
3.01	41.13	4.33	13.11	2.55	0.00	0.00	0.00
3.16	42.01	4.13	13.40	2.78	0.00	0.00	0.00
3.30	42.80	3.78	13.66	2.97	0.00	0.00	0.00
3.44	43.19	3.37	14.22	3.04	0.00	0.00	0.00
3.59	43.91	3.41	14.55	3.12	0.00	0.00	0.00
3.73	44.44	3.37	14.77	3.01	0.00	0.00	0.00
3.87	45.02	3.43	15.03	2.88	0.00	0.00	0.00
4.02	45.79	3.71	15.00	2.62	0.00	0.00	0.00
4.16	46.22	3.65	14.73	2.33	0.00	0.00	0.00
4.31	46.81	4.18	14.66	2.15	0.00	0.00	0.00
4.45	47.13	4.72	15.32	2.21	0.00	0.00	0.00
4.59	46.73	4.55	15.68	2.53	0.00	0.00	0.00
4.74	46.98	4.53	15.82	3.11	0.00	0.00	0.00
4.88	46.54	4.63	15.75	3.39	0.00	0.00	0.00
5.02	45.47	4.68	15.54	3.51	0.00	0.00	0.00
5.17	47.11	4.81	15.51	3.55	0.00	0.00	0.00
5.31	46.96	4.71	15.53	3.59	0.00	0.00	0.00
5.45	45.65	5.02	15.30	3.43	0.00	0.00	0.00
5.60	44.21	5.16	15.40	3.13	0.00	0.00	0.00
5.74	44.21	4.97	15.56	3.13	0.00	0.00	0.00
5.88	44.63	5.49	15.44	3.39	0.00	0.00	0.00
6.03	45.90	5.25	15.51	2.31	0.00	0.00	0.00
6.17	44.66	4.78	15.72	2.52	0.00	0.00	0.00
6.31	44.70	5.74	16.09	2.33	0.00	0.00	0.00
6.46	45.64	5.77	16.22	2.14	0.00	0.00	0.00
6.60	44.01	6.18	16.33	2.59	0.00	0.00	0.00
6.74	43.69	5.95	16.79	2.60	0.00	0.00	0.00
6.89	45.49	5.41	17.24	3.03	0.00	0.00	0.00
7.03	46.04	5.58	18.21	3.45	0.00	0.00	0.00
7.18	44.67	4.76	19.40	3.62	0.00	0.00	0.00
7.32	47.02	5.66	19.56	3.52	0.00	0.00	0.00
7.46	50.15	6.54	18.79	3.49	0.00	0.00	0.00
7.61	50.72	5.12	18.44	3.68	0.00	0.00	0.00
7.75	48.32	6.92	18.28	0.00	0.00	0.00	0.00
7.89	50.42	5.61	18.08	0.00	0.00	0.00	0.00
