#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
2.36	32.23	3.85	12.00	4.98	0.00	0.00	0.00
2.39	31.44	4.01	12.02	4.97	0.00	0.00	0.00
2.41	32.09	4.06	12.06	4.98	0.00	0.00	0.00
2.44	32.57	4.02	12.09	4.98	0.00	0.00	0.00
2.46	33.24	4.10	12.14	4.96	0.00	0.00	0.00
2.48	32.95	4.03	12.24	4.97	0.00	0.00	0.00
2.51	33.06	3.91	12.26	5.00	0.00	0.00	0.00
2.53	31.63	4.28	12.17	5.00	0.00	0.00	0.00
2.56	31.25	3.82	12.06	4.98	0.00	0.00	0.00
2.58	31.57	3.95	12.07	5.00	0.00	0.00	0.00
2.61	31.36	4.17	11.98	4.98	0.00	0.00	0.00
2.63	31.30	4.19	12.00	4.96	0.00	0.00	0.00
2.65	31.03	4.29	12.10	4.95	0.00	0.00	0.00
2.68	29.92	4.52	12.03	4.94	0.00	0.00	0.00
2.70	29.12	4.63	12.10	4.91	0.00	0.00	0.00
2.73	31.40	4.40	12.18	4.87	0.00	0.00	0.00
2.75	33.59	3.98	12.22	4.85	0.00	0.00	0.00
2.78	33.49	3.97	12.21	4.83	0.00	0.00	0.00
2.80	33.50	3.94	12.19	4.82	0.00	0.00	0.00
2.82	33.35	4.05	12.10	4.80	0.00	0.00	0.00
2.85	33.54	3.96	12.11	4.79	0.00	0.00	0.00
2.87	33.12	3.91	12.17	4.80	0.00	0.00	0.00
2.90	31.16	4.25	12.11	4.77	0.00	0.00	0.00
2.92	30.48	4.49	12.14	4.75	0.00	0.00	0.00
2.95	32.70	4.19	12.09	4.74	0.00	0.00	0.00
2.97	34.76	3.92	12.12	4.74	0.00	0.00	0.00
2.99	33.31	3.89	12.18	4.71	0.00	0.00	0.00
3.02	34.14	3.77	12.31	4.72	0.00	0.00	0.00
3.04	33.45	4.09	12.41	4.73	0.00	0.00	0.00
3.07	31.28	3.61	12.34	4.74	0.00	0.00	0.00
3.09	26.49	4.34	12.31	4.76	0.00	0.00	0.00
3.11	27.32	4.25	12.25	4.77	0.00	0.00	0.00
3.14	32.70	4.26	12.34	4.78	0.00	0.00	0.00
3.16	24.42	6.59	12.47	4.76	0.00	0.00	0.00
3.19	1.46	5.05	12.61	4.75	0.00	0.00	0.00
3.21	2.96	3.97	12.73	4.73	0.00	0.00	0.00
3.24	5.57	3.37	12.81	4.71	0.00	0.00	0.00
3.26	7.06	3.82	12.83	4.69	0.00	0.00	0.00
3.28	3.38	3.97	12.93	4.67	0.00	0.00	0.00
3.31	3.84	3.86	13.08	4.67	0.00	0.00	0.00
3.33	2.17	3.86	13.29	4.66	0.00	0.00	0.00
3.36	1.74	4.31	13.47	4.69	0.00	0.00	0.00
3.38	2.72	3.75	14.08	4.68	0.00	0.00	0.00
